Marsji Language			
Top 1000 Core Words			
English ? Marsji Edition			
Version 1.0			
			
	EN		Marsji
195	rest		pajee
196	set		foc
197	should		fazaea
198	stand		faleta
199	time		ilito
200	up		jua
201	age		ogi
202	because		iremau
203	big		elo
204	camera		lutai
205	city		licei
206	dress		mosaqe
207	evening		noserun
208	free		bisin
209	have		gewo
210	ill		araa
211	like		aletna
212	mother		rocoe
213	old		uree
214	police		vesoat
215	remember		uretisea
216	street		fahiet
217	study		ijosi
218	teacher		erariat
219	voice		ivoree
220	water		akututu
221	also		gejeo
222	box		kad
223	class		luliqu
224	difficult		elukuton
225	drive		ufabu
226	food		bazoi
227	great		ofimue
228	happy		ekefoi
229	change		okozon
230	juice		ucaru
231	meet		rusan
232	need		sesoe
233	pretty		vasuai
234	quite		zomiv
235	real		palie
236	sad		far
237	spring		fuhuana
238	star		ujuju
239	take		akitse
240	yes		area
241	action		emenota
242	alone		uruzo
243	breakfast		kasetoan
244	continue		lovuraota
245	dead		male
246	enjoy		atepia
247	full		acit
248	garden		dihiot
249	house		avacoo
250	journey		evujuu
251	much		renana
252	nothing		siciret
253	phone		ikuzoi
254	price		vumovi
255	result		eruwue
256	sister		oluqon
257	sun		fave
258	tell		oretto
259	view		ulade
260	with		alumna
261	against		eginoen
262	bus		uco
263	company		avefoet
264	desert 		uratene
265	expensive		obutuwi
266	flower		oride
267	green		ifutu
268	church		leqiet
269	impossible		kapuqai
270	leave		nolave
271	month		ravon
272	on		en
273	plan		eruzno
274	possible		uvucesen
275	return		pocuan
276	save		fiwu
277	sea		irilu
278	something		fatiwoen
279	together		hekuwiin
280	woman		qutip
281	anything		ataqasin
282	army		gotei
283	bad		kir
284	cover		iviteo
285	culture		lusabet
286	decision		munuqea
287	example		nelohun
288	feel		busoa
289	how		avo
290	island		kisiina
291	member		orunuu
292	next		ureqno
293	position		avanisa
294	present		vasivena
295	record		erupuna
296	sleep		eratono
297	sweet		fesewt
298	try		haga
299	under		jorec
300	world		qehata
301	after		gacoc
302	bed		kar
303	buy		eca
304	catch		ukoroa
305	corner		lohiat
306	distance		iluqufot
307	education		naqenue
308	fast		bujua
309	here		gahoo
310	interest		itetezen
311	letter		nocii
312	never		aratis
313	part		akuqte
314	president		ufeceven
315	round		ivizuo
316	several		fawocu
317	sound		evazet
318	story		ojajo
319	talk		hasea
320	week		orosro
321	almost		aripia
322	bread		afame
323	control		ivaqeen
324	dear		melae
325	every		uqejo
326	few		eraa
327	gold		ovusu
328	chief		uketa
329	invite		kewie
330	late		nace
331	most		rojue
332	only		utiko
333	product		vazuben
334	public		ocetune
335	receive		ponuri
336	sorry		ivujit
337	strong		fihaio
338	then		ikezni
339	too		avole
340	way		ikoa
341	across		gahiot
342	art		ofo
343	bring		ufozoa
344	carry		okijoe
345	confirm		lovara
346	die		alie
347	east		nujua
348	group		afawia
349	hope		gipei
350	industry		etuwaba
351	look		avasni
352	must		rajene
353	own		tiv
354	personal		vehefieta
355	reason		pelein
356	service		arebuo
357	shall		fulava
358	stay		falori
359	their		ekuniro
360	wife		qagua
361	away		iwak
362	beautiful		kuleween
363	care		lahe
364	cost		lujea
365	deep		masoe
366	enough		utawan
367	fight		alimiu
368	garage		dihaa
369	into		otapo
370	keep		mosute
371	miss		alicnu
372	other		tuloc
373	player		arikone
374	rather		picean
375	remain		potaat
376	side		faru
377	south		uviqo
378	true		heqeu
379	use		iha
380	who		qez
381	already		gehonea
382	become		irepue
383	cause		okecia
384	certain		lehonan
385	describe		arerosa
386	dry		mag
387	expect		nipoat
388	fact		bunua
389	hard		ekist
390	include		kanabo
391	let		nic
392	moment		evitini
393	power		vebuc
394	provide		vuzarun
395	report		pupae
396	seat		filut
397	single		ulelea
398	system		fejiot
399	through		hehaben
400	which		ekurae
401	apple		gapiv
402	blue		kuqai
403	clock		luzita
404	colour		avapeni
405	different		mogevaet
406	earth		nahan
407	film		bosio
408	glad		eriss
409	hour		goqou
410	just		lujas
411	love		niwei
412	number		acenati
413	pencil		ururin
414	quick		acurii
415	rain		pema
416	simple		alefet
417	summer		fitoun
418	town		hobii
419	tree		hesen
420	window		olasota
421	address		gorovan
422	building		komatua
423	computer		lotabein
424	cross		lizeqne
425	desk		urasn
426	ear		nah
427	fish		bejoe
428	glass		daluqe
429	ice		ome
430	key		arei
431	minute		aliwua
432	office		idenan
433	parent		vehoet
434	post		vijae
435	rock		evusti
436	search		urujit
437	sport		fozewo
438	tea		erae
439	valley		ekitonn
440	walk		qesoa
441	airport		elufien
442	baby		kemea
443	card		ukasa
444	central		ureqoat
445	direction		mohesoen
446	dollar		masuota
447	fruit		ifanee
448	gift		iluqo
449	high		geko
450	illness		kisovon
451	milk		roseu
452	not		suc
453	piece		olure
454	protect		vazuvena
455	race		akitiri
456	since		fivave
457	slow		fizes
458	smile		femovt
459	ticket		henao
460	well		erotnu
461	accident		ginatuin
462	blood		orepia
463	business		kojopeu
464	during		ucunat
465	even		uqezi
466	floor		oripia
467	general		davocot
468	choose		luzia
469	inform		keguot
470	little		nucoae
471	meeting		ereqeata
472	order		toroc
473	party		okeqas
474	pink		vovei
475	reply		eretoni
476	snow		fuzano
477	sugar		fakice
478	travel		haleaa
479	virus		coheqa
480	watch		ekaras
481	another		eteqeo
482	believe		uraneat
483	both		ovema
484	crazy		ifilia
485	cup		lup
486	decide		miniua
487	ever		oquje
488	field		elitu
489	heart		arejes
490	imagine		kolirena
491	line		nuvii
492	meat		relon
493	over		uqoju
494	pull		acits
495	ring		piviu
496	sell		urutta
497	similar		elonio
498	speed		ozeto
499	than		akuzne
500	your		beqei
501	above		oloba
502	begin		kukup
503	century		levobi
504	consider		levoraet
505	dangerous		ekoleqa
506	dark		mohia
507	exchange		noninei
508	government		dawicio
509	hear		goleti
510	jump		lutea
511	material		rocicie
512	near		sulio
513	past		vuju
514	produce		ufasiu
515	remove		pituaa
516	secret		erijana
517	song		fivos
518	television		hasodoa
519	value		cisuv
520	when		okozno
521	arm		gat
522	behind		kilio
523	case		ikatn
524	collect		lasuvan
525	draw		moluni
526	examine		obavuen
527	fall		okats
528	grow		dozua
529	immediately		katatasion
530	low		ovas
531	mind		olass
532	off		udo
533	pass		akacle
534	radio		paruf
535	shoe		fozoe
536	station		folurina
537	sure		fohuti
538	test		hujaa
539	usual		juquv
540	while		iketasu
541	ago		aga
542	along		erezaa
543	bear		kolea
544	condition		evisabon
545	direct		alatin
546	edge		nekua
547	fine		boveo
548	half		ekokn
549	chicken		ukerae
550	increase		atojeret
551	magazine		ekomisun
552	nature		okawei
553	plate		oraqeno
554	poor		vezeu
555	respect		urofeat
556	sharp		fuleh
557	sometimes		fitewee
558	still		fumiv
559	tall		ukittu
560	would		uvutato
561	add		ene
562	among		gazim
563	built		ocatie
564	common		lataata
565	depend		mopuet
566	early		ekatuu
567	fly		bug
568	happen		gipuat
569	check		lusot
570	introduce		atijavan
571	less		eracti
572	mark		rihue
573	patient		vacuvin
574	perhaps		vahunan
575	rise		ulotre
576	sense		fuvuvi
577	short		fizawa
578	state		ojoqia
579	turn		icizt
580	will		olitno
581	act		goc
582	appear		gipaan
583	break		kisut
584	course		liqioa
585	court		uvijue
586	discuss		alerao
587	effect		nugeen
588	form		bohos
589	hold		avesn
590	insect		utetana
591	mean		rulue
592	once		tanua
593	purpose		ecafuena
594	really		uratate
595	ride		pirou
596	situation		facunauna
597	success		eciroun
598	though		ukewee
599	upon		azezo
600	war		quh
601	afternoon		guceceu
602	busy		ecuka
603	coffee		evake
604	detail		uremona
605	especially		nepasao
606	finish		olonae
607	ground		dazaea
608	holiday		ivunuet
609	choice		lozau
610	kitchen		mocunan
611	lesson		nijien
612	music		uconut
613	orange		afuzat
614	perfect		vohuvat
615	request		pufeve
616	season		filiat
617	sick		olusn
618	tomorrow		uvupeqin
619	welcome		qisifun
620	yesterday		bejovoan
621	agree		gahev
622	bridge		afisen
623	cake		okete
624	customer		eciqepot
625	date		meco
626	enter		nocec
627	future		ecowa
628	gentleman		oreqeza
629	hair		gumo
630	image		osoli
631	language		navobuo
632	market		ukesoa
633	plane		arizus
634	private		vimuna
635	restaurant		oraqadin
636	size		foke
637	sky		unoa
638	smart		osojo
639	thank		ukizus
640	weather		qeloni
641	actor		umupu
642	bottle		kuceet
643	cloth		lazan
644	coat		lalot
645	destroy		uraqei
646	everywhere		eqijuku
647	finger		ololin
648	guide		domive
649	improve		kapofin
650	knife		otoke
651	large		nohuve
652	mistake		rijena
653	ocean		tesep
654	plant		valuw
655	repeat		aratata
656	salt		okoqre
657	special		izoroa
658	teach		helena
659	uncle		ututia
660	winter		qevuun
661	angry		itaja
662	article		gucoso
663	build		ocati
664	dirty		iliqo
665	except		ninoat
666	famous		ukipot
667	gas		ikoi
668	hotel		uvitoi
669	cheap		akume
670	interview		atitigat
671	moon		rozio
672	nice		olutno
673	prepare		vesene
674	prison		ufucai
675	rice		ulotra
676	seem		urivs
677	skirt		onujo
678	strange		fehapen
679	train		afunii
680	warm		qoha
681	account		amupion
682	bird		alose
683	cloud		orawoa
684	comfortable		latifodien
685	damage		ekeman
686	dust		mujani
687	exercise		abojosot
688	favourite		biwibia
689	hospital		gijeroet
690	joke		evutta
691	message		ariciu
692	night		ulumu
693	paint		okozas
694	pleasure		erimiden
695	relationship		pesuwijao
696	science		fomepen
697	serious		fuhufi
698	spend		feseta
699	tired		alatune
700	wrong		efazuo
701	amount		isiwen
702	bank		kavea
703	brown		ifodi
704	crowd		ifedi
705	deal		muloi
706	engine		utoni
707	follow		ivetan
708	chocolate		lizefeu
709	individual		karodue
710	left		oriqna
711	meal		ralin
712	oil		tose
713	pain		vome
714	probably		ufanusa
715	replace		urutoat
716	society		fanevan
717	square		faqooa
718	step		ijofu
719	temperature		irifiqegon
720	university		etebaqen
721	accept		ometet
722	advance		guwipun
723	bag		oki
724	captain		lapanon
725	centre		luvaae
726	demand		eremii
727	enemy		nosil
728	factory		ukuqoot
729	hungry		acilia
730	illegal		kesomen
731	law		ekut
732	nose		uvette
733	petrol		voceat
734	proud		afewi
735	responsible		irefufavu
736	store		ujoja
737	successful		acorewun
738	swim		uweve
739	top		hip
740	win		qov
741	available		uqenira
742	boat		kilane
743	borrow		ivajaa
744	coast		lalewe
745	cream		lusaza
746	design		mijien
747	expression		obujewe
748	farm		bihe
749	history		uloqaota
750	injure		koneona
751	map		rap
752	obtain		tecoet
753	peaceful		oraremu
754	practise		uforosa
755	recently		ponupaun
756	shape		akafes
757	silver		fisiina
758	smoke		esuso
759	touch		heqon
760	wash		qujo
761	advantage		unemabot
762	attack		ejemu
763	butter		kucaat
764	club		erani
765	college		evetoin
766	degree		mukian
767	escape		nonoot
768	gate		dace
769	independent		kerahohien
770	listen		iloqe
771	marry		ukejani
772	object		teneo
773	path		akemno
774	quiet		zomuw
775	refuse		pagoet
776	subject		femovia
777	supply		fepian
778	taste		hejev
779	usually		ihamiin
780	vegetable		cokuwoe
781	arrange		gehopon
782	below		kusag
783	cigarette		lekecoot
784	cottage		aviqoen
785	department		mepucuon
786	earn		ikozo
787	front		buzow
788	gentle		divuun
789	hat		gic
790	instrument		kojaciot
791	machine		ikemiea
792	newspaper		subuhua
793	parcel		ikoroa
794	religion		irunesuna
795	repair		oromie
796	serve		arebeu
797	shoulder		okawuvun
798	trip		ifufni
799	village		alotuoe
800	wall		ikutti
801	arrive		gahiat
802	born		avoza
803	clothes		luzunu
804	correct		luhuvu
805	double		avinin
806	English		nikiret
807	forget		evalen
808	goal		dalut
809	hate		goci
810	kill		eluts
811	last		neje
812	main		rema
813	pair		vami
814	promise		vuzeru
815	regular		urawoua
816	somewhere		uvatorin
817	space		falavn
818	these		hesuve
819	useful		ohuken
820	without		qacefon
821	animal		otevun
822	beer		kasua
823	calm		losa
824	copy		lipat
825	dish		mujat
826	express		nupavi
827	foreign		uviteet
828	guess		acecee
829	husband		gujinua
830	lie		eloa
831	mine		revai
832	opinion		tumure
833	passenger		okocefa
834	press		vusoqu
835	rule		pisau
836	sign		fako
837	support		ocefoat
838	those		huzov
839	wonderful		qivavae
840	year		belae
841	afraid		gohaa
842	board		ivuju
843	circle		elorun
844	count		evazei
845	death		eraqia
846	discover		eloragu
847	funny		acazi
848	guest		dosowe
849	horse		gohivo
850	lake		ekotte
851	modern		ruroua
852	necessary		sanoqoan
853	plenty		vasuei
854	profit		vizien
855	reduce		pirau
856	share		ukujano
857	steal		ejamia
858	trust		aficuo
859	wish		qajei
860	young		buqam
861	admire		unonuna
862	allow		urepua
863	battle		kacaata
864	climb		arovi
865	complete		lativaun
866	divide		ilone
867	effort		udepana
868	fresh		ufecaa
869	hole		gasina
870	indeed		kerai
871	marriage		ikajirin
872	outside		icacei
873	pleasant		vasoquot
874	point		ivizeu
875	recent		aritas
876	secretary		fanuviot
877	sing		favan
878	soft		evaqti
879	third		himata
880	various		cihofe
881	adventure		gewupaen
882	although		irimade
883	bottom		evaqina
884	coin		lomina
885	comfort		letufon
886	drop		afofe
887	equal		neqov
888	gun		dev
889	intelligent		itetazusot
890	join		luma
891	laugh		noqun
892	middle		reruat
893	perform		vuhefa
894	plain		erunino
895	row		avose
896	soldier		fosuru
897	surface		ucakeata
898	thick		homat
899	until		jeciv
900	wild		ilusna
901	attempt		ujutuu
902	bill		olit
903	breathe		kisuwin
904	cook		evusi
905	defend		moguon
906	fat		buc
907	grey		disona
908	hot		goca
909	character		akajotona
910	import		kopea
911	lose		ivotti
912	mountain		roqiwio
913	operation		ozajibeta
914	prize		afalui
915	risk		ulosna
916	safe		fego
917	suddenly		icesufa
918	suit		fomisi
919	type		hopat
920	wood		quzen
921	area		gosia
922	asleep		ahoten
923	bath		ekam
924	careless		ekotizu
925	delay		mesul
926	event		nisowe
927	foot		bazoe
928	hide		girona
929	chain		okone
930	international		kacucusoet
931	match		ekarau
932	nervous		oriboot
933	pity		vocao
934	prove		ufabia
935	raise		akicone
936	shut		okeqs
937	smell		osetua
938	straight		ajemunun
939	trade		efasee
940	variety		ukonoet
941	admit		unone
942	attend		ojoton
943	branch		kileina
944	coal		luli
945	consist		ovuceata
946	declare		urataet
947	exact		obara
948	farmer		ikovet
949	instead		kijevin
950	jacket		laneun
951	leg		orut
952	metal		iromea
953	opposite		tupaqeun
954	pound		ovuzau
955	roll		uvatne
956	score		fizuva
957	shoot		okapou
958	speech		izotu
959	toilet		avetora
960	whose		qaziv
961	attitude		ijinadet
962	brave		ufabe
963	contain		lavonun
964	doubt		ovane
965	experience		ibatusa
966	flat		ireqt
967	guard		ocuju
968	heavy		golale
969	charge		akajo
970	iron		ifezs
971	medicine		arunasote
972	noise		uvecae
973	politics		uvonoson
974	pour		viqii
975	rush		pejao
976	smooth		asipona
977	spread		fahoun
978	suggest		fikevin
979	trouble		hozori
980	west		qajea
981	average		eqojain
982	belong		irupo
983	certainly		eroqiso
984	crime		limava
985	duty		mecos
986	either		nacea
987	fail		bima
988	health		galiio
989	influence		atutezun
990	leader		erisen
991	measure		ralabu
992	offer		tigac
993	pile		visoi
994	regard		eromene
995	rough		piqone
996	series		fohoot
997	spoil		azino
998	spot		ezuqi
999	thin		ukazs
1000	vote		cucoi
			
Language			
Meaning is Universal. Language is Merely the surface.			
? hzvidib dn pidqzmnvg gvibpvbz dn hzmzgt ocz npmavxz			
? Erozeun ih Utuboqu. Navobuo ih Uretuna ih Ucakeata.			
			
Same meaning. Three layers. Zero noise.			
marsji.com			
