"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1087070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"74588","baarn",,"akejaa"
"74589","baarnaise",,"akejaran"
"74590","baarnaises",,"akejarun"
"74591","baas",,"okic"
"74592","baaseiah",,"kaluvein"
"74593","baases",,"ekocat"
"74594","baasha",,"kelaen"
"74595","baaskaap",,"koletea"
"74596","baaskaaps",,"koleteen"
"74597","baaskap",,"kelaton"
"74598","baaskaps",,"kelataan"
"74599","baass",,"okicoa"
"74600","baasskap",,"kelaquan"
"74601","baasskaps",,"kelaquun"
"74602","baastan",,"akeceen"
"74603","baastans",,"akeceron"
"74604","baaster",,"ekocoe"
"74605","baath",,"okiqe"
"74606","baathi",,"okiqi"
"74607","baathification",,"kelenonue"
"74608","baathism",,"akequsat"
"74609","baathisms",,"akequse"
"74610","baathist",,"kulunai"
"74611","baathists",,"kulunaat"
"74612","baaths",,"okiqon"
"74613","baati",,"kulur"
"74614","baatonum",,"ikuqufet"
"74615","baatz",,"ikuqa"
"74616","baavanadhoo",,"ukabofupen"
"74617","baay",,"ukak"
"74618","baba",,"kamo"
"74619","bababooey",,"ikamoho"
"74620","bababudanite",,"kemiruzou"
"74621","bababunm",,"kamoriu"
"74622","babaco",,"komuun"
"74623","babacoote",,"akomahon"
"74624","babacootes",,"akomahan"
"74625","babacos",,"komusu"
"74626","babacu",,"kumeu"
"74627","babae",,"kumev"
"74628","babag",,"kemim"
"74629","babahoyo",,"ukemihu"
"74630","babai",,"kamor"
"74631","babajaga",,"akomeron"
"74632","babak",,"kumet"
"74633","babakoto",,"akomohi"
"74634","babala",,"okumen"
"74635","babalaas",,"ikamera"
"74636","babalas",,"okumaon"
"74637","babalawo",,"okumaran"
"74638","babalel",,"kemivet"
"74639","babalola",,"kamovoin"
"74640","babalon",,"kimavat"
"74641","babamik",,"komuza"
"74642","babanki",,"ukemue"
"74643","babanriga",,"kamopao"
"74644","babar",,"ikamo"
"74645","babara",,"ukemon"
"74646","babares",,"okumeet"
"74647","babariga",,"akomusi"
"74648","babars",,"ikamu"
"74649","babas",,"kamoq"
"74650","babasco",,"komuqu"
"74651","babash",,"ikamin"
"74652","babassu",,"kumeqa"
"74653","babassus",,"kumeqaen"
"74654","babasu",,"kumein"
"74655","babati",,"okumet"
"74656","babatngon",,"akomefun"
"74657","babatund",,"ikamuda"
"74658","babax",,"akoma"
"74659","babayan",,"ikamuin"
"74660","babaylan",,"kumelien"
"74661","babaylanes",,"kimalou"
"74662","babayoan",,"akomehet"
"74663","babb",,"okun"
"74664","babba",,"ikane"
"74665","babbacombe",,"kaminein"
"74666","babbage",,"ikanein"
"74667","babbages",,"ikanena"
"74668","babbagian",,"kaminua"
"74669","babbed",,"kimeo"
"74670","babbelas",,"kimevoan"
"74671","babber",,"kumou"
"74672","babbette",,"ukeneban"
"74673","babbie",,"ekinat"
"74674","babbing",,"kimerun"
"74675","babbishly",,"ikaniwi"
"74676","babbit",,"kumoot"
"74677","babbited",,"akonaben"
"74678","babbiting",,"akonabe"
"74679","babbitings",,"akonabin"
"74680","babbitries",,"ekinebet"
"74681","babbitry",,"ukenube"
"74682","babbitrys",,"ukenubin"
"74683","babbits",,"kumoro"
"74684","babbitt",,"ekineu"
"74685","babbitted",,"komarua"
"74686","babbitter",,"kimerae"
"74687","babbittess",,"akonabat"
"74688","babbittesss",,"akonabife"
"74689","babbittian",,"komarui"
"74690","babbittians",,"komarudaat"
"74691","babbitting",,"komaruat"
"74692","babbittish",,"kumoree"
"74693","babbittishs",,"kumoredoin"
"74694","babbittism",,"ukenuben"
"74695","babbittisms",,"ukenubovon"
"74696","babbittries",,"kimeradao"
"74697","babbittry",,"kemuriat"
"74698","babbitts",,"ekinebot"
"74699","babbitty",,"ikanibo"
"74700","babbity",,"kemuret"
"74701","babblative",,"kemuvaun"
"74702","babble",,"komaun"
"74703","babbled",,"ukenoi"
"74704","babbledom",,"ukenozu"
"74705","babblement",,"kemuvuun"
"74706","babblements",,"kemuvufeu"
"74707","babblemouth",,"kemuvufaot"
"74708","babbler",,"akonio"
"74709","babblers",,"akonizet"
"74710","babblery",,"okunazi"
"74711","babbles",,"komavu"
"74712","babblesome",,"kemuvuuna"
"74713","babbleth",,"komavaa"
"74714","babbleto",,"ekinuzin"
"74715","babblier",,"akonison"
"74716","babbliest",,"ukenosin"
"74717","babbling",,"ukenosot"
"74718","babblingly",,"komaviat"
"74719","babblings",,"ukenoso"
"74720","babblish",,"ekinuso"
"74721","babblishly",,"kumovae"
"74722","babbly",,"kamian"
"74723","babbool",,"komafot"
"74724","babbools",,"komafuo"
"74725","babbs",,"okuno"
"74726","babby",,"ukenaa"
"74727","babchi",,"okuron"
"74728","babcia",,"kamuan"
"74729","babcock",,"kamufun"
"74730","babe",,"kimu"
"74731","babealicious",,"ekituzizat"
"74732","babee",,"komiv"
"74733","babeeism",,"kameveu"
"74734","babeeisms",,"kameveot"
"74735","babeen",,"okuto"
"74736","babees",,"komiat"
"74737","babefphite",,"kameliet"
"74738","babeh",,"ekita"
"74739","babehood",,"kominua"
"74740","babeish",,"ekitein"
"74741","babel",,"uketo"
"74742","babelaas",,"ekituru"
"74743","babelavante",,"kimuvokuin"
"74744","babeldaob",,"okutavan"
"74745","babeldom",,"kemovii"
"74746","babeldoms",,"kemoviat"
"74747","babelesque",,"okutazun"
"74748","babelet",,"kamevat"
"74749","babelian",,"kamevein"
"74750","babelic",,"uketoat"
"74751","babelicious",,"akotisovin"
"74752","babelike",,"okutasat"
"74753","babelisatie",,"kemovoboin"
"74754","babelisation",,"uketosetan"
"74755","babelisations",,"uketosetun"
"74756","babelise",,"ikateso"
"74757","babelised",,"kameveina"
"74758","babeliseds",,"kamevea"
"74759","babelises",,"ikateset"
"74760","babelish",,"komivien"
"74761","babelishs",,"komivion"
"74762","babelising",,"kamevei"
"74763","babelisings",,"kamevebiat"
"74764","babelism",,"okutasun"
"74765","babelisms",,"okutasu"
"74766","babelization",,"kimuvuruon"
"74767","babelizations",,"kimuvuruan"
"74768","babelize",,"komiviot"
"74769","babelized",,"uketose"
"74770","babelizeds",,"uketosin"
"74771","babelizes",,"komivio"
"74772","babelizing",,"uketoset"
"74773","babelizings",,"uketosivi"
"74774","babels",,"uketi"
"74775","babelthuap",,"kimuvaot"
"74776","babemba",,"akotua"
"74777","babenberg",,"uketusu"
"74778","babendil",,"ekitevot"
"74779","babenzele",,"ekitenin"
"74780","baber",,"ekitaa"
"74781","babergh",,"kamecu"
"74782","babers",,"ekitat"
"74783","baberton",,"akotubon"
"74784","babery",,"ikate"
"74785","babes",,"kimuq"
"74786","babeship",,"kameqaot"
"74787","babesia",,"kumaqa"
"74788","babesial",,"akotason"
"74789","babesias",,"kumaqaen"
"74790","babesiases",,"kimuquu"
"74791","babesiasis",,"kumaqaat"
"74792","babesicidal",,"komiqivai"
"74793","babesicide",,"uketusin"
"74794","babesiella",,"kameqeo"
"74795","babesiidae",,"akotasan"
"74796","babesiidaes",,"akotasopun"
"74797","babesioses",,"kumaqaan"
"74798","babesiosis",,"kameqeet"
"74799","babesiosiss",,"kameqejii"
"74800","babesiotic",,"okutosin"
"74801","babett",,"komiun"
"74802","babette",,"kemowo"
"74803","babeuf",,"ekitun"
"74804","babeufism",,"uketema"
"74805","babeurre",,"komiboin"
"74806","babhan",,"kimei"
"74807","babhans",,"kimenat"
"74808","babi",,"kumi"
"74809","babiak",,"kumia"
"74810","babian",,"akono"
"74811","babiana",,"ekinuu"
"74812","babianas",,"ekinufot"
"74813","babiarz",,"komenin"
"74814","babic",,"kumis"
"74815","babich",,"okunon"
"74816","babiche",,"ekineua"
"74817","babiches",,"ekinerot"
"74818","babied",,"akonot"
"74819","babier",,"ekinun"
"74820","babies",,"kimoon"
"74821","babiest",,"akonoen"
"74822","babieswear",,"ukenewin"
"74823","babified",,"kumilaon"
"74824","babifies",,"okunuse"
"74825","babify",,"akonen"
"74826","babifying",,"kemaliot"
"74827","babiism",,"komero"
"74828","babiisms",,"komeriet"
"74829","babiless",,"ukenozua"
"74830","babillard",,"komeveet"
"74831","babillion",,"ikanezun"
"74832","babilonia",,"kimovaa"
"74833","babily",,"okunona"
"74834","babin",,"ukenu"
"74835","babina",,"akonoa"
"74836","babinda",,"komepin"
"74837","babinden",,"akonavon"
"74838","babine",,"ikanin"
"74839","babineau",,"ikanizo"
"74840","babineaux",,"kimopee"
"74841","babines",,"ikania"
"74842","babiness",,"ikanizen"
"74843","babinet",,"kamupe"
"74844","babinets",,"kamupiin"
"74845","babington",,"ukenunen"
"74846","babingtonite",,"kamupudue"
"74847","babingtonites",,"kamupuduin"
"74848","babinka",,"ukenue"
"74849","babino",,"ekinu"
"74850","babinski",,"ikaniwia"
"74851","babinskies",,"okunowa"
"74852","babinskis",,"ikaniwat"
"74853","babion",,"ekinua"
"74854","babip",,"ikana"
"74855","babirousa",,"ukenihot"
"74856","babirousas",,"ukeniho"
"74857","babiroussa",,"ukenihoa"
"74858","babiroussas",,"ukenihidet"
"74859","babirusa",,"okunedat"
"74860","babirusas",,"okunede"
"74861","babirussa",,"okunedea"
"74862","babirussas",,"okunedin"
"74863","babis",,"kumiq"
"74864","babish",,"okuni"
"74865","babished",,"kimoqiun"
"74866","babishes",,"ekinera"
"74867","babishing",,"kimoqien"
"74868","babishly",,"kamuqaa"
"74869","babishness",,"kemaqein"
"74870","babism",,"komein"
"74871","babisms",,"komeqa"
"74872","babist",,"ekine"
"74873","babists",,"ekinein"
"74874","babita",,"okunet"
"74875","babite",,"akona"
"74876","babites",,"akoneen"
"74877","babitonga",,"kamuwoen"
"74878","babits",,"ekinea"
"74879","babitss",,"ekinoin"
"74880","babka",,"kuman"
"74881","babkas",,"kumaot"
"74882","babkinite",,"kumaraat"
"74883","bablah",,"kumea"
"74884","bablahs",,"kumenen"
"74885","bable",,"ukete"
"74886","babler",,"komue"
"74887","bablock",,"ekitoin"
"74888","babloh",,"kamoe"
"74889","babm",,"koma"
"74890","babo",,"keme"
"74891","baboa",,"komon"
"74892","baboen",,"akopa"
"74893","babol",,"okupa"
"74894","babole",,"ekipun"
"74895","babols",,"okupon"
"74896","babongo",,"ukepuu"
"74897","babongos",,"ukepunot"
"74898","baboo",,"kimif"
"74899","baboodom",,"akopevi"
"74900","babooism",,"kemefoun"
"74901","babool",,"ukepat"
"74902","babools",,"ukepae"
"74903","baboom",,"kemeet"
"74904","baboon",,"ikapot"
"74905","babooneries",,"kumufapee"
"74906","baboonery",,"komofien"
"74907","baboonerys",,"komofion"
"74908","babooness",,"okupife"
"74909","babooning",,"kumufae"
"74910","baboonish",,"kemefoin"
"74911","baboonize",,"kemefouna"
"74912","baboonized",,"ikapufi"
"74913","baboonizes",,"kemefou"
"74914","baboonizing",,"ikapufasot"
"74915","baboonlike",,"komofiat"
"74916","baboonroot",,"okupifa"
"74917","baboons",,"ikapuo"
"74918","baboos",,"kimii"
"74919","baboosh",,"ekipoot"
"74920","babooshes",,"akopewat"
"74921","babooshka",,"ekipowet"
"74922","baboot",,"akopo"
"74923","baboquiv",,"okupadun"
"74924","babor",,"ukepi"
"74925","babos",,"kemeq"
"74926","babouche",,"okuputan"
"74927","babouches",,"okuputun"
"74928","baboushka",,"ikapawi"
"74929","babouvism",,"ukepega"
"74930","babouvisms",,"ukepegen"
"74931","babouvist",,"kimiboin"
"74932","babouvistic",,"kimiboteen"
"74933","babouvists",,"kimiboa"
"74934","babpipes",,"kemoruan"
"74935","babpipeses",,"kamerio"
"74936","babpipesses",,"kameripiet"
"74937","babr",,"okuj"
"74938","babracot",,"komaniot"
"74939","babracoted",,"ikajeten"
"74940","babracoting",,"ikajetege"
"74941","babracots",,"komanio"
"74942","babrius",,"ekijein"
"74943","babroot",,"kimefat"
"74944","babruysk",,"okujumat"
"74945","babs",,"kumie"
"74946","babson",,"ekice"
"74947","babsons",,"ekicoin"
"74948","babt",,"ekiq"
"74949","babu",,"kimua"
"74950","babua",,"kumana"
"74951","babuas",,"kumain"
"74952","babuche",,"akowao"
"74953","babuches",,"akowaret"
"74954","babudom",,"akoween"
"74955","babudoms",,"akowehon"
"74956","babuganj",,"komimeen"
"74957","babuina",,"ukewuun"
"74958","babuism",,"kemori"
"74959","babuisms",,"kemoroat"
"74960","babul",,"ukewo"
"74961","babula",,"akowa"
"74962","babulia",,"akowiet"
"74963","babuls",,"ukewan"
"74964","babulya",,"okuwaon"
"74965","babuma",,"komie"
"74966","babumas",,"komizin"
"74967","babungera",,"komipeen"
"74968","babungeras",,"komipeon"
"74969","babungo",,"ekiweot"
"74970","babur",,"ekiwa"
"74971","baburd",,"kimuet"
"74972","baburs",,"ekiwun"
"74973","babus",,"kimuqa"
"74974","babushka",,"ekiwera"
"74975","babushkaed",,"komiqoet"
"74976","babushkas",,"ekiweren"
"74977","babusia",,"kumaqo"
"74978","babusya",,"kemoqen"
"74979","babuvirus",,"kemodoun"
"74980","babuyan",,"ekiwoe"
"74981","babuza",,"ikawe"
"74982","babwa",,"kimen"
"74983","babworth",,"okudiqun"
"74984","baby",,"kemea"
"74985","babyak",,"kemeo"
"74986","babybear",,"komorau"
"74987","babyboomer",,"kimirain"
"74988","babybrained",,"kumurusoan"
"74989","babycakes",,"kamasuu"
"74990","babycare",,"ukekuran"
"74991","babycatcher",,"ukekurozot"
"74992","babyccino",,"ikakitet"
"74993","babyccinos",,"ikakiti"
"74994","babych",,"ukeki"
"74995","babycham",,"ikakiro"
"74996","babychams",,"ikakiret"
"74997","babycino",,"ikakisen"
"74998","babydaddy",,"akokero"
"74999","babydoll",,"okukihat"
"75000","babydolls",,"okukihe"
"75001","babydom",,"ikakuot"
"75002","babydyke",,"ikakumot"
"75003","babyese",,"kumuvin"
"75004","babyface",,"akokoren"
"75005","babyfaced",,"komoleot"
"75006","babyfat",,"kimilan"
"75007","babyfather",,"kimiloot"
"75008","babyfic",,"akokoet"
"75009","babyfication",,"akokosoto"
"75010","babyfied",,"kemeloi"
"75011","babyfies",,"ukekesu"
"75012","babyfirsttv",,"ikakasude"
"75013","babyflot",,"akokozan"
"75014","babyfood",,"kemelian"
"75015","babyfoods",,"kemeliun"
"75016","babyfur",,"komolot"
"75017","babyfy",,"okuket"
"75018","babyfying",,"kimilaa"
"75019","babygay",,"kamamun"
"75020","babygirl",,"kememoun"
"75021","babygirlification",,"akokisefen"
"75022","babygram",,"ukekoqu"
"75023","babygramme",,"ekikuqet"
"75024","babygro",,"okukaan"
"75025","babygros",,"okukaqun"
"75026","babygrow",,"akokiqi"
"75027","babyhood",,"kamanoin"
"75028","babyhoods",,"kamanoa"
"75029","babyhouse",,"ukekihin"
"75030","babying",,"okukoat"
"75031","babyish",,"ukekue"
"75032","babyisher",,"kemeroun"
"75033","babyishest",,"kamareen"
"75034","babyishly",,"komorion"
"75035","babyishness",,"kimiruseen"
"75036","babyishnesss",,"kimiruseon"
"75037","babyism",,"kumuren"
"75038","babykiller",,"ukekesen"
"75039","babykin",,"akokoon"
"75040","babykins",,"akokosan"
"75041","babykisser",,"okukusin"
"75042","babyl",,"okuka"
"75043","babyleaf",,"kemevui"
"75044","babyless",,"ekikuzin"
"75045","babylessness",,"kamavibion"
"75046","babylift",,"ikakeson"
"75047","babylike",,"akokisi"
"75048","babylon",,"kumuven"
"75049","babyloni",,"kumuvei"
"75050","babylonia",,"kamavoo"
"75051","babyloniae",,"kumuveat"
"75052","babylonian",,"akokihu"
"75053","babylonianism",,"ikakehaven"
"75054","babylonians",,"akokihovot"
"75055","babylonias",,"kamavoet"
"75056","babylonic",,"kumuvean"
"75057","babylonica",,"kamavoen"
"75058","babylonical",,"ekikuhivan"
"75059","babylonically",,"kumuvehoo"
"75060","babylonics",,"kumuveun"
"75061","babylonise",,"kimivaa"
"75062","babylonised",,"akokihovu"
"75063","babylonises",,"kimivaheen"
"75064","babylonish",,"okukaho"
"75065","babylonishs",,"okukahuvet"
"75066","babylonising",,"akokihovon"
"75067","babylonism",,"komovuat"
"75068","babylonisms",,"komovuhae"
"75069","babylonite",,"akokihe"
"75070","babylonites",,"akokihovin"
"75071","babylonize",,"okukahin"
"75072","babylonized",,"kumuvehoun"
"75073","babylonizes",,"okukahuva"
"75074","babylonizing",,"kumuvehoen"
"75075","babylons",,"kumuveon"
"75076","babymaker",,"ekikara"
"75077","babymaking",,"akokurin"
"75078","babymama",,"kumuzien"
"75079","babymamma",,"komozeen"
"75080","babymax",,"akokuo"
"75081","babymaxx",,"kamazue"
"75082","babymaxxed",,"ekikarot"
"75083","babymaxxes",,"kumuzion"
"75084","babymaxxing",,"ekikarinan"
"75085","babyminder",,"ikakosi"
"75086","babyminderes",,"okukesupa"
"75087","babyminders",,"ikakosapat"
"75088","babymom",,"kumuzen"
"75089","babymomma",,"kimizain"
"75090","babymoon",,"ikakohet"
"75091","babymooned",,"kumuzean"
"75092","babymooning",,"kumuzejoa"
"75093","babymother",,"ikakohan"
"75094","babyness",,"akokazet"
"75095","babyoil",,"ukekae"
"75096","babyolatry",,"okukizu"
"75097","babyproof",,"ekikiqet"
"75098","babyproofed",,"komohojean"
"75099","babyproofer",,"kimihijoen"
"75100","babyproofing",,"komohojea"
"75101","babyproofs",,"ekikiqi"
"75102","babyqueer",,"okukadan"
"75103","babyrousa",,"ekikaha"
"75104","babyrousae",,"akokuhan"
"75105","babyrousas",,"ekikahen"
"75106","babyroussa",,"ekikahena"
"75107","babyrussa",,"ukekidu"
"75108","babys",,"kemeqa"
"75109","babysat",,"ukekuan"
"75110","babyship",,"kimiqiu"
"75111","babysit",,"ikakia"
"75112","babysits",,"ikakisena"
"75113","babysitt",,"kamaqein"
"75114","babysitted",,"ekikeso"
"75115","babysittee",,"kimiquu"
"75116","babysitter",,"okukosu"
"75117","babysitters",,"okukosagot"
"75118","babysitting",,"ekikesugun"
"75119","babysittings",,"ekikesugu"
"75120","babyspace",,"akokajet"
"75121","babyspeak",,"ukekuju"
"75122","babystay",,"ekikebu"
"75123","babystep",,"kemeqion"
"75124","babytalk",,"kumuwiet"
"75125","babytalked",,"akokeran"
"75126","babytalking",,"akokerapa"
"75127","babytalks",,"kumuwii"
"75128","babytrans",,"okukiqun"
"75129","babyware",,"okukeron"
"75130","babywear",,"okukezon"
"75131","babywearing",,"kimigesao"
"75132","babywears",,"okukezan"
"75133","babywise",,"kimiguat"
"75134","babywore",,"ikakoha"
"75135","babyworn",,"kumugeet"
"75136","baca",,"okama"
"75137","bacaba",,"keniot"
"75138","bacabal",,"okameet"
"75139","bacabs",,"kanoi"
"75140","bacacay",,"akimaot"
"75141","bacach",,"kanoan"
"75142","bacalao",,"kenivet"
"75143","bacalaos",,"kenivai"
"75144","bacalar",,"okamaon"
"75145","bacalhau",,"ekumurot"
"75146","bacall",,"ukoman"
"75147","bacallao",,"okamazat"
"75148","bacalls",,"ukomoun"
"75149","bacampicillin",,"ekumajiza"
"75150","bacan",,"konup"
"75151","bacani",,"konuu"
"75152","bacanora",,"ikemiho"
"75153","bacanore",,"ekumehin"
"75154","bacao",,"ukomae"
"75155","bacardi",,"okameon"
"75156","bacardis",,"okamevan"
"75157","bacaro",,"konue"
"75158","bacarra",,"ukomian"
"75159","bacatec",,"kinawet"
"75160","bacau",,"ekumia"
"75161","bacauan",,"konubu"
"75162","bacaudae",,"kinabaon"
"75163","bacaus",,"ekumat"
"75164","bacavi",,"kinaon"
"75165","bacaw",,"akimua"
"75166","bacayan",,"kanolat"
"75167","bacbakiri",,"okanavu"
"75168","bacc",,"ekura"
"75169","bacca",,"okara"
"75170","baccaceous",,"okaratat"
"75171","baccae",,"ekuri"
"75172","baccala",,"kuninot"
"75173","baccalau",,"kinonoan"
"75174","baccalaurean",,"kenanaseu"
"75175","baccalaureat",,"kinonosiot"
"75176","baccalaureate",,"konenesoi"
"75177","baccalaureates",,"konenesoat"
"75178","baccalaurens",,"kanunusaet"
"75179","baccalaureus",,"ukorozuko"
"75180","baccam",,"akirot"
"75181","baccar",,"kanui"
"75182","baccara",,"kenano"
"75183","baccaras",,"kenaneet"
"75184","baccarat",,"ikereqot"
"75185","baccarats",,"ikereqo"
"75186","baccare",,"kuninin"
"75187","baccari",,"kanunun"
"75188","baccarin",,"akiriqon"
"75189","baccas",,"okaro"
"75190","baccata",,"kanunan"
"75191","baccate",,"kinonet"
"75192","baccated",,"akiriba"
"75193","baccater",,"ekurube"
"75194","baccatest",,"akiribet"
"75195","baccatin",,"ukorobe"
"75196","baccatum",,"kenanion"
"75197","baccaurea",,"kuninoo"
"75198","baccelli",,"okaruzat"
"75199","baccer",,"kinoen"
"75200","bacchae",,"kuninota"
"75201","bacchanal",,"koneneen"
"75202","bacchanale",,"kenanaun"
"75203","bacchanalia",,"kinonohuo"
"75204","bacchanaliae",,"konenehiat"
"75205","bacchanalian",,"ikeroratu"
"75206","bacchanalianism",,"ekurariten"
"75207","bacchanalianisms",,"ekurariton"
"75208","bacchanalianly",,"kenanahoi"
"75209","bacchanalians",,"ikeroratot"
"75210","bacchanalias",,"kinonohuet"
"75211","bacchanalise",,"kenanahoa"
"75212","bacchanalised",,"ikeroratua"
"75213","bacchanalises",,"kenanahoen"
"75214","bacchanalising",,"ikeroraton"
"75215","bacchanalism",,"kanunuheat"
"75216","bacchanalist",,"ukorireti"
"75217","bacchanalization",,"ekuraritet"
"75218","bacchanalize",,"akirurotin"
"75219","bacchanalized",,"konenehiun"
"75220","bacchanalizes",,"akirurota"
"75221","bacchanalizing",,"konenehien"
"75222","bacchanals",,"koneneon"
"75223","bacchanology",,"kinonohoi"
"75224","bacchant",,"konenea"
"75225","bacchante",,"kenanaan"
"75226","bacchantes",,"kenanauna"
"75227","bacchantic",,"koneneona"
"75228","bacchants",,"koneneena"
"75229","bacchar",,"ikeroot"
"75230","bacchares",,"okarerat"
"75231","baccharis",,"ikeroron"
"75232","baccharises",,"okarerivot"
"75233","baccharisses",,"okarerivo"
"75234","baccharoid",,"koneneone"
"75235","bacchation",,"kuniniun"
"75236","baccheion",,"akiruzat"
"75237","bacchelli",,"kanunio"
"75238","bacchellis",,"kanuniet"
"75239","bacchi",,"kunia"
"75240","bacchiac",,"kanuneu"
"75241","bacchian",,"akirusi"
"75242","bacchic",,"kunino"
"75243","bacchical",,"ekuraso"
"75244","bacchicals",,"ekuraset"
"75245","bacchiccer",,"ekurasoa"
"75246","bacchiccest",,"akirusozun"
"75247","bacchicer",,"ekurasa"
"75248","bacchicest",,"akirusat"
"75249","bacchides",,"akirusia"
"75250","bacchidess",,"akirusata"
"75251","bacchii",,"kuninet"
"75252","bacchis",,"kuninen"
"75253","bacchiuchii",,"ekurasazun"
"75254","bacchius",,"kinonue"
"75255","bacchus",,"kinonan"
"75256","bacchuses",,"konenao"
"75257","bacchuslike",,"okaredufo"
"75258","bacchuslikes",,"okaredufet"
"75259","bacchuss",,"kinoneun"
"75260","bacchusses",,"konenaet"
"75261","bacchylides",,"kinonapea"
"75262","bacchylidess",,"kinonapeen"
"75263","bacci",,"ekure"
"75264","baccies",,"akirao"
"75265","bacciferous",,"ikerimobun"
"75266","bacciferum",,"ukorumo"
"75267","bacciform",,"ikeriman"
"75268","baccilar",,"ekurezot"
"75269","baccilla",,"ukoruzu"
"75270","baccilli",,"ikerizon"
"75271","baccillla",,"kanuruo"
"75272","baccillum",,"akirazun"
"75273","baccillums",,"akirazu"
"75274","baccio",,"ikerin"
"75275","baccios",,"ikeria"
"75276","baccivorous",,"ikerigebun"
"75277","bacco",,"ikeru"
"75278","baccoes",,"okariet"
"75279","baccoo",,"akira"
"75280","baccos",,"ikerua"
"75281","baccs",,"ekuree"
"75282","baccy",,"ikerue"
"75283","baccys",,"ikere"
"75284","bacdna",,"ukoson"
"75285","bace",,"akit"
"75286","baceridin",,"kanecea"
"75287","bach",,"kuno"
"75288","bacha",,"kanin"
"75289","bachac",,"kanian"
"75290","bachamel",,"ikemepen"
"75291","bachamels",,"ikemepon"
"75292","bachand",,"konanin"
"75293","bachao",,"konau"
"75294","bachar",,"ikemin"
"75295","bacharach",,"konanoen"
"75296","bacharachian",,"ikemeqizu"
"75297","bacharachs",,"konanoon"
"75298","bachas",,"kaniat"
"75299","bachata",,"ikemeot"
"75300","bachatero",,"kenuniat"
"75301","bachcha",,"ikemia"
"75302","bachchas",,"ikemiren"
"75303","bache",,"kinev"
"75304","bached",,"akimot"
"75305","bachel",,"ukomana"
"75306","bachelardian",,"kenuvasia"
"75307","bachelder",,"ikemazen"
"75308","bachelet",,"kanivuu"
"75309","bacheller",,"okamuze"
"75310","bachellers",,"okamuzin"
"75311","bachelor",,"kunovion"
"75312","bachelordom",,"ekumizuban"
