"Marsji Language — Canonical Lexical Lock",,,
"Version: 1.0",,,
"Locked: 16 May 2026 — 20:26 UTC",,,
"Total Entries: 1087070",,,
"Author: Gino Rouzee",,,
,,,
"ID","EN",,"MJ"
"440","abandoningly",,"ulezehove"
"441","abandonings",,"giletuhaet"
"442","abandonly",,"galiteot"
"443","abandonm",,"ilazahon"
"444","abandonment",,"ulezehohon"
"445","abandonments",,"ulezehohan"
"446","abandonness",,"gelutohiu"
"447","abandons",,"alozohan"
"448","abandonware",,"giletuhuin"
"449","abandonwares",,"giletuhua"
"450","abands",,"galiia"
"451","abandum",,"golatu"
"452","abaneeme",,"elizuzin"
"453","abanet",,"gulou"
"454","abanets",,"gulovot"
"455","abanga",,"ilaza"
"456","abangan",,"galime"
"457","abangay",,"alozuon"
"458","abanic",,"elizu"
"459","abanics",,"elizoot"
"460","abanilla",,"ulezaza"
"461","abaniquillo",,"alozecavet"
"462","abanks",,"alozet"
"463","abannition",,"golapoat"
"464","abanon",,"galiat"
"465","abanoquil",,"gelufue"
"466","abante",,"guloua"
"467","abantes",,"gulowot"
"468","abantess",,"guloweo"
"469","abantis",,"galiwe"
"470","abanto",,"golae"
"471","abanyom",,"ilazaen"
"472","abaout",,"ulepat"
"473","abaoz",,"olupa"
"474","abap",,"alof"
"475","abapertural",,"ilafeqokun"
"476","abapic",,"alofen"
"477","abapical",,"guluruen"
"478","abapically",,"alofetu"
"479","abaptation",,"guluwoat"
"480","abaptism",,"golowoo"
"481","abaptiston",,"giliwia"
"482","abaptistons",,"giliwibeen"
"483","abaptistum",,"elifisan"
"484","abaque",,"goliat"
"485","abaques",,"golibe"
"486","abar",,"ulej"
"487","abaragnosis",,"galonihii"
"488","abarambo",,"galonue"
"489","abarambos",,"galonuin"
"490","abarbarea",,"elijerot"
"491","abarbareas",,"elijero"
"492","abarca",,"aloja"
"493","abarcas",,"alojeen"
"494","abare",,"ilaje"
"495","abarelix",,"ulejozin"
"496","abargains",,"gilamein"
"497","abarim",,"olujan"
"498","abaris",,"ulejun"
"499","abariss",,"ulejau"
"500","abarognosis",,"gelifuhuo"
"501","abarquez",,"gulejea"
"502","abarred",,"ilajiot"
"503","abarrows",,"gulecaen"
"504","abarsis",,"ulejaua"
"505","abart",,"gilawa"
"506","abarth",,"ulejuna"
"507","abarthrosis",,"geliwawua"
"508","abarticular",,"goluwovei"
"509","abarticulatia",,"goluwovee"
"510","abarticulation",,"elijisuko"
"511","abarticulations",,"elijisuket"
"512","abas",,"gilee"
"513","abascal",,"ilacua"
"514","abase",,"golav"
"515","abased",,"olucen"
"516","abasedly",,"golaviu"
"517","abasedness",,"gilevuun"
"518","abasedst",,"geluvoen"
"519","abasemen",,"olucapat"
"520","abasement",,"geluvai"
"521","abasements",,"geluvaat"
"522","abaser",,"ilacin"
"523","abasers",,"ilacea"
"524","abases",,"golaata"
"525","abasest",,"olucai"
"526","abaseth",,"golavu"
"527","abasgi",,"guloa"
"528","abasgis",,"gulomen"
"529","abash",,"ulecu"
"530","abasha",,"alocen"
"531","abashable",,"ilaciron"
"532","abashed",,"golane"
"533","abashedly",,"ilacizon"
"534","abashedness",,"ulecuzijen"
"535","abashednesss",,"ulecuzijon"
"536","abashes",,"ilacio"
"537","abashest",,"golanuot"
"538","abasheth",,"ilacizona"
"539","abashev",,"gelunen"
"540","abashing",,"golanoet"
"541","abashingly",,"ilacisin"
"542","abashiri",,"gulonui"
"543","abashless",,"gelunuat"
"544","abashlessly",,"olucozoden"
"545","abashment",,"ilacipan"
"546","abashments",,"ilacipun"
"547","abasht",,"gileona"
"548","abasi",,"gilera"
"549","abasia",,"guloin"
"550","abasias",,"gulora"
"551","abasic",,"gileet"
"552","abasically",,"gileriin"
"553","abasing",,"olucie"
"554","abasingly",,"golaroon"
"555","abasio",,"galiata"
"556","abasiophilia",,"olucihotun"
"557","abasis",,"gileone"
"558","abask",,"golata"
"559","abasolo",,"elicia"
"560","abaspour",,"geluhoi"
"561","abassi",,"gileoni"
"562","abassia",,"guloqa"
"563","abassian",,"olucise"
"564","abassians",,"olucisin"
"565","abassieh",,"ilacuson"
"566","abassiehs",,"ilacusan"
"567","abassin",,"elicoa"
"568","abassins",,"elicosen"
"569","abassis",,"gileqan"
"570","abastard",,"ulecere"
"571","abastarded",,"golawaot"
"572","abastarding",,"golawawaan"
"573","abastardise",,"ilacarapat"
"574","abastardised",,"golawawaon"
"575","abastardises",,"ilacarape"
"576","abastardising",,"golawawain"
"577","abastardize",,"gulowowoi"
"578","abastardized",,"ulecerepen"
"579","abastardizes",,"gulowowoat"
"580","abastardizing",,"ulecerepe"
"581","abastards",,"ulecerin"
"582","abastral",,"ilacaqet"
"583","abastuma",,"elicida"
"584","abastumani",,"gilewaot"
"585","abasure",,"olucaia"
"586","abat",,"ilaq"
"587","abatable",,"oluqesan"
"588","abatacept",,"uleqitu"
"589","abatagati",,"galuniot"
"590","abatage",,"uleqiun"
"591","abatages",,"uleqinu"
"592","abate",,"oluqa"
"593","abated",,"gelain"
"594","abatedst",,"eliquvin"
"595","abatee",,"eliqat"
"596","abatees",,"elique"
"597","abatemen",,"gelavaet"
"598","abatement",,"eliqupo"
"599","abatements",,"eliqupet"
"600","abater",,"goleate"
"601","abaters",,"goleve"
"602","abates",,"oluqet"
"603","abatest",,"gelavo"
"604","abateth",,"oluqaan"
"605","abath",,"gilon"
"606","abathochroal",,"ilaqiheta"
"607","abatic",,"ilaqot"
"608","abating",,"gelari"
"609","abatis",,"ilaqa"
"610","abatised",,"gelareet"
"611","abatises",,"oluqiwun"
"612","abative",,"galurat"
"613","abatjour",,"uleqehot"
"614","abatjours",,"uleqeho"
"615","abaton",,"golee"
"616","abatons",,"golefin"
"617","abator",,"galuan"
"618","abators",,"galufun"
"619","abats",,"ilaqu"
"620","abatsons",,"goleqia"
"621","abattage",,"gilowean"
"622","abattages",,"giloweun"
"623","abattant",,"galuwie"
"624","abattis",,"golewin"
"625","abattised",,"eliqiso"
"626","abattises",,"gelawean"
"627","abattle",,"aloqoet"
"628","abattoir",,"aloqohat"
"629","abattoirlike",,"gelawotoen"
"630","abattoirs",,"aloqohe"
"631","abattu",,"gelaa"
"632","abattue",,"galuwan"
"633","abatua",,"ilaqin"
"634","abatuas",,"ilaqea"
"635","abature",,"gelabo"
"636","abatures",,"gelabaet"
"637","abatvoix",,"eliqaho"
"638","abatvoixes",,"aloquhe"
"639","abatwa",,"oluqeta"
"640","abau",,"goloa"
"641","abaucin",,"aloweon"
"642","abaue",,"gelev"
"643","abaustin",,"guluqaet"
"644","abave",,"elibu"
"645","abavus",,"elibe"
"646","abawd",,"elidi"
"647","abax",,"elig"
"648","abaxial",,"galirun"
"649","abaxialization",,"olugirive"
"650","abaxializations",,"olugirivin"
"651","abaxialize",,"eligoron"
"652","abaxialized",,"galiripoo"
"653","abaxializes",,"eligorovan"
"654","abaxializing",,"galiripoun"
"655","abaxially",,"eligoret"
"656","abaxile",,"gileri"
"657","abaxonal",,"alogofan"
"658","abay",,"galu"
"659","abaya",,"gelan"
"660","abayaed",,"alokua"
"661","abayah",,"olukon"
"662","abayas",,"gelaota"
"663","abayeh",,"aloko"
"664","abayibaa",,"ilakuso"
"665","abayudaya",,"ilakevo"
"666","abaza",,"elila"
"667","abaze",,"ulelo"
"668","abazi",,"alole"
"669","abazin",,"goloe"
"670","abazins",,"golorin"
"671","abazis",,"alolen"
"672","abazungu",,"gelebei"
"673","abba",,"ulom"
"674","abbacchio",,"gemosean"
"675","abbacies",,"ilemuso"
"676","abbacination",,"gemosehea"
"677","abbacomes",,"ilemuhet"
"678","abbacy",,"elumat"
"679","abbadid",,"ilemaot"
"680","abbadide",,"olamusi"
"681","abbadides",,"olamusat"
"682","abbadids",,"ilemaso"
"683","abbado",,"gameon"
"684","abbados",,"gametan"
"685","abbaesque",,"olamawat"
"686","abbai",,"uloma"
"687","abbais",,"ulomat"
"688","abbandonatamente",,"alimevuji"
"689","abbandono",,"gomipio"
"690","abbas",,"ulomaa"
"691","abbaser",,"gimuqet"
"692","abbasers",,"gimuqai"
"693","abbasi",,"ulomata"
"694","abbasid",,"gimuqon"
"695","abbasids",,"gimuqian"
"696","abbasis",,"ulomae"
"697","abbass",,"uloman"
"698","abbassare",,"gumaquo"
"699","abbassi",,"ulomaea"
"700","abbassid",,"gimuqiana"
"701","abbasside",,"gomiqoot"
"702","abbassides",,"gomiqoo"
"703","abbassids",,"gimuqiun"
"704","abbat",,"gimuw"
"705","abbatage",,"gumawoa"
"706","abbate",,"gomian"
"707","abbates",,"gomiwun"
"708","abbatess",,"gomiwuu"
"709","abbatesses",,"gemowii"
"710","abbatial",,"ilemaset"
"711","abbatical",,"ilemason"
"712","abbatie",,"gomiwe"
"713","abbatiello",,"gemowee"
"714","abbaties",,"gomiwoin"
"715","abbatija",,"ulomesin"
"716","abbats",,"gimuen"
"717","abbay",,"elumi"
"718","abbaye",,"alimot"
"719","abbayes",,"alimoo"
"720","abbe",,"olat"
"721","abbeabbs",,"ulotisat"
"722","abbed",,"gemet"
"723","abbee",,"elutu"
"724","abberley",,"olatozan"
"725","abbes",,"olati"
"726","abbess",,"olatet"
"727","abbesses",,"elutowin"
"728","abbesss",,"olatii"
"729","abbest",,"gemeot"
"730","abbethdin",,"ulotera"
"731","abbethdins",,"uloteren"
"732","abbett",,"elutun"
"733","abbevilean",,"gemedeat"
"734","abbevileans",,"gemedepae"
"735","abbeville",,"gemedean"
"736","abbevillean",,"alitusefin"
"737","abbevilles",,"gemedeun"
"738","abbevillian",,"elutasofun"
"739","abbey",,"ulote"
"740","abbeyard",,"alitoren"
"741","abbeydore",,"alitovon"
"742","abbeyed",,"gomolan"
"743","abbeyfeale",,"iletamon"
"744","abbeyhill",,"gemelaun"
"745","abbeyite",,"gomolou"
"746","abbeyleix",,"ulotezin"
"747","abbeylike",,"gamaliin"
"748","abbeys",,"uloti"
"749","abbeystead",,"iletawen"
"750","abbeysteads",,"iletawofon"
"751","abbeystede",,"elutiwot"
"752","abbeystedes",,"elutiwafo"
"753","abbeytown",,"elutibo"
"754","abbi",,"ilen"
"755","abbiamo",,"uloniu"
"756","abbie",,"olana"
"757","abbies",,"olanon"
"758","abbigail",,"gimemeu"
"759","abbigale",,"gomamaa"
"760","abbileigh",,"olanezo"
"761","abbing",,"gemuet"
"762","abbitt",,"olani"
"763","abboccato",,"gomesoot"
"764","abbogada",,"gomemain"
"765","abbokinase",,"gematee"
"766","abbot",,"gumiw"
"767","abbotcies",,"gimowiun"
"768","abbotcy",,"gemawo"
"769","abbotcys",,"gemaweet"
"770","abbotess",,"gimowaan"
"771","abbotesses",,"gomewuo"
"772","abbotnullius",,"olapufofan"
"773","abbotric",,"alipoqan"
"774","abbotrick",,"ulopeqo"
"775","abbotricks",,"ulopeqet"
"776","abbotrics",,"alipoqun"
"777","abbotries",,"ulopeqa"
"778","abbotry",,"olapuan"
"779","abbots",,"gumiin"
"780","abbotsbury",,"gemaweat"
"781","abbotsen",,"elupiwa"
"782","abbotsford",,"ilepawun"
"783","abbotsfordian",,"gemawenuet"
"784","abbotsfordians",,"gemawenui"
"785","abbotsfords",,"ilepawicu"
"786","abbotsham",,"ulopewo"
"787","abbotship",,"gemawee"
"788","abbotships",,"gemawein"
"789","abbotside",,"ilepawon"
"790","abbotsinch",,"gomewoi"
"791","abbotson",,"ulopewot"
"792","abbotsun",,"elupiwo"
"793","abbotswood",,"elupiwon"
"794","abbott",,"ulopat"
"795","abbottabad",,"elupibo"
"796","abbotts",,"ulopee"
"797","abbottson",,"gimowuu"
"798","abbottstown",,"elupibugat"
"799","abbottstowns",,"elupibuge"
"800","abboud",,"gimoen"
"801","abbouds",,"gimobon"
"802","abbozzi",,"ilepeo"
"803","abbozzo",,"alipiet"
"804","abbr",,"gima"
"805","abbreuvoirs",,"gomuvukai"
"806","abbrev",,"elujun"
"807","abbreve",,"alijio"
"808","abbreves",,"alijiget"
"809","abbrevia",,"olajagat"
"810","abbreviable",,"alijigite"
"811","abbreviatable",,"gamovitaet"
"812","abbreviate",,"gamoviin"
"813","abbreviated",,"alijigitun"
"814","abbreviatedly",,"gamovitaeta"
"815","abbreviately",,"elujugutan"
"816","abbreviater",,"elujuguton"
"817","abbreviaters",,"elujugutana"
"818","abbreviates",,"gamovitaa"
"819","abbreviating",,"alijigiten"
"820","abbreviation",,"elujugute"
"821","abbreviationitis",,"gamovitaen"
"822","abbreviations",,"elujugutin"
"823","abbreviative",,"ulojogoton"
"824","abbreviator",,"ulojogotet"
"825","abbreviatorily",,"gumevotuo"
"826","abbreviators",,"ulojogoti"
"827","abbreviatory",,"elujugutat"
"828","abbreviature",,"alijigitin"
"829","abbreviatures",,"alijigita"
"830","abbrevn",,"gimavon"
"831","abbrevns",,"gimavean"
"832","abbrevs",,"elujuu"
"833","abbroachment",,"elujirutun"
"834","abbrochment",,"alijotohot"
"835","abbrochments",,"alijotoho"
"836","abbrs",,"gimaq"
"837","abbruzzese",,"gimabaat"
"838","abbrv",,"olaje"
"839","abbs",,"ilec"
"840","abbur",,"gomoc"
"841","abby",,"alik"
"842","abbye",,"uloko"
"843","abbygail",,"gamumiin"
"844","abbys",,"alike"
"845","abbyville",,"gumiduon"
"846","abbyvilles",,"gumiduan"
"847","abca",,"ginu"
"848","abcaree",,"olemoet"
"849","abcauline",,"gonibao"
"850","abcess",,"geneot"
"851","abcessed",,"alutewen"
"852","abcesses",,"ganaqaat"
"853","abchalazal",,"gunenoi"
"854","abcissa",,"gineqi"
"855","abciximab",,"gunokuon"
"856","abcoulomb",,"gonebaen"
"857","abcoulombs",,"gonebaon"
"858","abda",,"ilim"
"859","abdabs",,"giruo"
"860","abdal",,"gerov"
"861","abdali",,"geroo"
"862","abdalla",,"elemain"
"863","abdallah",,"gerovui"
"864","abdallat",,"garevie"
"865","abdals",,"geroa"
"866","abdar",,"giruc"
"867","abdaria",,"guracot"
"868","abdat",,"goriw"
