Marsji Language — Canonical Lexical Lock						
Version: 1.0						
Locked: 16 May 2026 — 20:26 UTC						
Total Entries: 1087070						
Author: Gino Rouzee						
						
ID		    EN				        MJ
320978		faceoff				ukutooa
320979		faceoffs				ukutomet
320980		facep				baneh
320981		facepaint				binuhoot
320982		facepalm				ikitoran
320983		facepalmed				benohae
320984		facepalming				benohapiet
320985		facepalms				ikitorun
320986		facepalmy				akaturu
320987		facepaw				bunaho
320988		facepawed				ikitoron
320989		facepawing				ikitorin
320990		facepaws				bunahiet
320991		facepic				banehu
320992		facepiece				binuhue
320993		facepile				ikitosan
320994		faceplant				okoteza
320995		faceplanted				banehusiet
320996		faceplanting				banehusiu
320997		faceplants				okotezen
320998		faceplat				bunahion
320999		faceplate				binuhou
321000		faceplated				ikitozat
321001		faceplates				binuhoota
321002		faceprint				ikitoqe
321003		faceprinted				benohetuot
321004		faceprinting				benohetuan
321005		faceprints				ikitoqin
321006		facer				bunac
321007		facerape				eketoroe
321008		facereader				binucee
321009		faceroll				binucain
321010		facers				bunaa
321011		faces				ukuteo
321012		facesat				bunaqo
321013		facesaving				okoturet
321014		facesheet				okoturin
321015		facesheets				okotura
321016		faceshield				benoqein
321017		facesit				binuqun
321018		facesits				binuquu
321019		facesitter				boniqii
321020		facesitting				benoqodaet
321021		facespace				baneqiin
321022		facesso				eketio
321023		facest				binui
321024		facestab				akatoban
321025		facestalk				okotuba
321026		facestalked				baneqoseet
321027		facestalking				baneqoseu
321028		facestalks				okotuben
321029		facestock				bunaqean
321030		facestones				okotubo
321031		faceswap				bunaquet
321032		faceswapped				bunaqusuat
321033		faceswapping				bunaqusuo
321034		faceswaps				bunaqui
321035		facet				binuw
321036		facetal				ikiteeta
321037		facetank				eketuret
321038		facetanked				bunawian
321039		facetanking				bunawihua
321040		facetanks				eketuria
321041		facete				bonie
321042		facetectomy				ukutozigon
321043		faceted				okotaan
321044		facetedness				binuwezeot
321045		facetely				ikitezon
321046		faceteness				ukutozen
321047		facetenesss				ukutozifon
321048		faceter				ikiteen
321049		faceth				ukutue
321050		facetia				bunawen
321051		facetiae				binuwuun
321052		facetiation				binuwusoon
321053		facetime				baneweot
321054		facetimed				akatise
321055		facetimeing				ukutosofe
321056		facetimes				baneweo
321057		facetiming				akatiset
321058		faceting				okotasa
321059		facetiosity				okotasodi
321060		facetiou				bunawai
321061		facetious				bunawaat
321062		facetiously				akatisaken
321063		facetiousness				eketuseka
321064		facetiousnesses				akatisakun
321065		facetlike				akatizin
321066		facets				binuia
321067		facette				okotaat
321068		facetted				benowion
321069		facetting				benowiin
321070		facety				baneat
321071		faceup				bunaaa
321072		facevsion				okotowo
321073		faceward				ikituret
321074		facewards				ikituri
321075		facewash				binugoe
321076		facewear				bonigaot
321077		facewipe				bonigio
321078		facewise				eketosen
321079		facework				binugau
321080		faceworker				ikituhe
321081		faceworkers				ikituhepin
321082		facey				eketuo
321083		fach				bani
321084		fachan				ukumine
321085		fachanan				bonaniet
321086		fachidiot				benuriot
321087		fachini				ikimaun
321088		fachtna				binewe
321089		facia				ekeneo
321090		faciabook				buninuun
321091		faciae				akanon
321092		facial				bunien
321093		faciale				binonun
321094		facialer				ukunuzo
321095		facialest				ikinizun
321096		facialis				buniniat
321097		facialist				ukunuzi
321098		faciality				ekenezat
321099		facialize				akanazin
321100		facialized				buniniun
321101		facializes				akanaza
321102		facializing				buninituen
321103		facialler				bonenei
321104		faciallest				benanaot
321105		faciallier				boneneun
321106		facialliest				benanapuen
321107		facially				akanazu
321108		facialness				ekenezun
321109		facialplasty				okonozifat
321110		facials				buninon
321111		faciane				bonena
321112		facias				ekenaa
321113		faciata				benani
321114		faciation				akanaba
321115		facie				ukunio
321116		faciei				ukunin
321117		faciend				ekenaoa
321118		faciends				ekenafet
321119		faciendum				ikinofun
321120		facient				ekenaen
321121		facier				bunio
321122		facies				ukunue
321123		faciest				binovun
321124		facil				binov
321125		facile				boneot
321126		facilely				ikinizata
321127		facileness				ukunuzia
321128		facilenesses				ikinizofa
321129		faciler				ikinii
321130		facilest				okonozot
321131		faciliatory				binovusoi
321132		facilis				binovin
321133		facilita				ukunuset
321134		facilitate				boneviat
321135		facilitated				okonosoton
321136		facilitates				bonevidie
321137		facilitating				okonosotin
321138		facilitation				ikinisiti
321139		facilitations				ikinisitat
321140		facilitative				ekeneseta
321141		facilitatively				benavodoun
321142		facilitativeness				bonevidian
321143		facilitator				ekenesetot
321144		facilitators				ekeneseto
321145		facilitatory				ikinisitet
321146		facilite				okonosa
321147		facilited				benavou
321148		facilites				okonosen
321149		faciliti				ikinisu
321150		facilities				okonosi
321151		faciliting				benavoon
321152		facility				akanasin
321153		facilitys				akanasa
321154		facilization				akanasetat
321155		facilize				ukunusen
321156		facilized				binovuot
321157		facilizes				ukunuson
321158		facilizing				binovuan
321159		facillimus				ukunuze
321160		facily				banuu
321161		facina				binoat
321162		facinarose				akanora
321163		facinerious				ikinazevo
321164		facing				binoe
321165		facingly				ukunenon
321166		facings				binopin
321167		facinorous				ekenihu
321168		facinorousness				bonepuweet
321169		facinorousnesses				benapiwain
321170		facio				okonae
321171		facioauriculovertebral				ukunorabo
321172		faciobrachial				ukunosotot
321173		faciobrachiodystonic				okonasatu
321174		faciocervical				bunifapeo
321175		faciocutaneoskeletal				bunifagio
321176		faciodigitogenital				banufoteot
321177		faciogenital				binofopeun
321178		faciohumeroscapular				bonefoguot
321179		faciohypoglossal				ukunoruqe
321180		faciolingual				bonefetaen
321181		faciomaxillary				ukunopenen
321182		faciometric				ukunopagun
321183		faciometrics				ukunopagu
321184		faciomuscular				ikinepudon
321185		facioplasty				bunifopaot
321186		facioplegia				ikinejafen
321187		facioscapular				binofuvuat
321188		facioscapulohumeral				banufeveu
321189		faciotroncular				banufowua
321190		facis				akanoa
321191		facist				buniena
321192		facit				buniw
321193		fack				ukuss
321194		facked				boniu
321195		fackeltanz				ekesazat
321196		facking				boniron
321197		fackings				bonirian
321198		fackins				benorun
321199		fackler				okosou
321200		facklers				okosozot
321201		fackrell				banecio
321202		facks				ukusea
321203		faclempt				beniveun
321204		facockta				benesuat
321205		facocta				bonosot
321206		facom				akapea
321207		facon				bunup
321208		faconde				ikipaet
321209		faconne				ekepien
321210		faconnes				ekepifon
321211		facp				beno
321212		facs				akacna
321213		facsim				ikicon
321214		facsimil				benarein
321215		facsimile				banuraon
321216		facsimiled				akacopo
321217		facsimileing				ukucepifo
321218		facsimiles				banuraan
321219		facsimilied				akacopufon
321220		facsimiling				akacopufun
321221		facsimilise				banuratee
321222		facsimilises				banuratein
321223		facsimilist				ekecipafo
321224		facsimilists				ekecipafet
321225		facsimilize				okocupefat
321226		facsimilized				benaretoon
321227		facsimilizes				okocupefe
321228		facsimilizing				benaretoin
321229		facsims				ikicaan
321230		fact				bunua
321231		facta				banan
321232		factable				bininiun
321233		factabling				ikiqisot
321234		factbook				ikiquhat
321235		factbooks				ikiquhe
321236		factcheck				ikiqarat
321237		factchecked				benesepuu
321238		factchecker				bonosopaan
321239		factchecking				benesepuon
321240		factchecks				ikiqare
321241		factette				benevii
321242		factfem				ikiqoi
321243		factfile				biniluot
321244		factfinder				bonoliat
321245		factfinding				benelohai
321246		factful				binilu
321247		factfulness				akaqudojet
321248		facthood				bininain
321249		factial				ukuqea
321250		factiality				banarui
321251		factic				bunuo
321252		factical				ukuqeto
321253		factically				bunurae
321254		factice				binirat
321255		factices				binirue
321256		facticidal				biniruo
321257		facticide				ikiqatat
321258		facticities				ikiqatoga
321259		facticity				ekeqitan
321260		facticius				binirua
321261		factified				bunuroun
321262		factifies				akaqoma
321263		factify				ikiqaan
321264		factifying				beneruet
321265		factiness				ekeqifan
321266		factio				benei
321267		faction				ukuqeo
321268		factional				binirao
321269		factionalisation				binirahuon
321270		factionalise				bonoruhiot
321271		factionalised				okoquhete
321272		factionalises				bonoruhio
321273		factionalising				okoquhetet
321274		factionalism				benerihoan
321275		factionalisms				benerihoun
321276		factionalist				ikiqahoton
321277		factionalistic				ikiqahotun
321278		factionalists				ikiqahotan
321279		factionalization				akaqohuten
321280		factionalize				ukuqehitu
321281		factionalized				binirahuat
321282		factionalizer				bunurehaet
321283		factionalizes				ukuqehitot
321284		factionalizing				binirahuo
321285		factionally				ukuqehite
321286		factionaries				bunurehao
321287		factionary				bonoruat
321288		factionate				biniraoa
321289		factionated				ikiqahotin
321290		factionates				binirahuet
321291		factionating				ikiqahoti
321292		factioneer				bonoruan
321293		factioner				biniraa
321294		factionism				okoquhan
321295		factionist				biniraon
321296		factionistism				benerihue
321297		factionists				binirahean
321298		factionless				benerihoen
321299		factionlessness				ikiqahofun
321300		factions				ukuqehet
321301		factious				banaroo
321302		factiouser				akaqoha
321303		factiousest				ukuqehadat
321304		factiously				ekeqihe
321305		factiousness				okoquhidat
321306		factiousnesses				ekeqihoden
321307		factiousser				akaqoheden
321308		factioussest				ukuqehade
321309		factis				bunuen
321310		factises				biniruu
321311		factish				akaqoe
321312		factitia				akaqobu
321313		factitial				biniraoe
321314		factitious				akaqoben
321315		factitiously				banarotuu
321316		factitiousness				beneritaun
321317		factitiousnesses				banarotuet
321318		factitive				beneriu
321319		factitively				okoqubeli
321320		factitiveness				ikiqabolet
321321		factitivity				ukuqebile
321322		factitude				beneriun
321323		factive				okoque
321324		factively				bonoreon
321325		factiveness				biniropeen
321326		factivity				bunuriun
321327		factless				okoqozina
321328		factlessly				bonovaan
321329		factlessness				binivebeon
321330		factlet				benevi
321331		factly				akaqia
321332		factness				ekeqizet
321333		facto				benef
321334		factographer				banafuwee
321335		factographic				ekequnuto
321336		factography				ikiqeneto
321337		factoid				ekequen
321338		factoidal				banafeen
321339		factoids				ekequson
321340		factor				okoqun
321341		factorabilities				banafasoen
321342		factorability				binifisaun
321343		factorabilitys				binifisau
321344		factorable				ekequqan
321345		factoradic				bonofoi
321346		factorage				ikiqequn
321347		factorages				ikiqequ
321348		factordaily				ikiqeqitot
321349		factordom				benefeu
321350		factored				banafain
321351		factoress				ekequqi
321352		factoria				ikiqeqat
321353		factorial				benefein
321354		factoriality				ikiqeqotet
321355		factorialization				ikiqeqotot
321356		factorialize				okoqaqetat
321357		factorialized				benefetoon
321358		factorializes				okoqaqete
321359		factorializing				benefetoin
321360		factorially				okoqaqetan
321361		factorials				benefea
321362		factoriangular				banafateo
321363		factorie				ekequqon
321364		factoried				banafao
321365		factories				ekequqana
321366		factorin				bunufuat
321367		factoring				banafai
321368		factorings				banafaat
321369		factorion				benefeot
321370		factorisable				ekequqadin
321371		factorisation				okoqaqedin
321372		factorisations				okoqaqeda
321373		factorise				ekequqane
321374		factorised				banafaet
321375		factorises				ekeququn
321376		factorising				banafatiu
321377		factorist				benefeina
321378		factoriz				binifiin
321379		factorizability				akaqiqusin
321380		factorizable				bonofotoe
321381		factorization				binifitie
321382		factorizations				binifitiin
321383		factorize				bonofoon
321384		factorized				okoqaqo
321385		factorizer				ikiqequa
321386		factorizes				bonofoan
321387		factorizing				okoqaqesun
321388		factorless				bunufue
321389		factors				okoqau
321390		factorship				ukuqoqun
321391		factorships				ukuqoqitu
321392		factory				ukuqoot
321393		factorylike				banafaneat
321394		factorys				ukuqoqo
321395		factoryscape				banafanii
321396		factoryship				ekequqedot
321397		factoryville				binifinuan
321398		factoryvilles				binifinuun
321399		factorywise				ekequqeme
321400		factoryworker				ikiqeqimet
321401		factotum				ikiqebat
321402		factotums				ikiqebe
321403		factour				ekequena
321404		factress				ukuqazaa
321405		factrix				bonoco
321406		facts				bunuq
321407		factsheet				bonoqoet
321408		factsheets				bonoqoi
321409		factsmaps				akaqopin
321410		factual				ikiqoon
321411		factualer				bonobeet
321412		factualest				benebau
321413		factualism				ekeqare
321414		factualisms				ekeqarivin
321415		factualist				bonobeat
321416		factualistic				bonobepain
321417		factualists				bonobepae
321418		factualities				benebapuet
321419		factuality				bunubie
321420		factualization				bunubipoi
321421		factualize				biniboa
321422		factualized				ikiqoravu
321423		factualizes				binibopeen
321424		factualizing				ikiqoravon
321425		factuall				benebaun
321426		factualler				ekeqarat
321427		factuallest				akaqurofo
321428		factuallier				ekeqarifu
321429		factualliest				akaqurofon
321430		factually				biniboot
321431		factualness				bunubipou
321432		factualnesses				binibopei
321433		factualnesss				bunubipoot
321434		factum				beneon
321435		factums				beneban
321436		facturd				binibat
321437		facture				ikiqoet
321438		factures				ikiqoqi
321439		facty				benel
321440		facula				binuan
321441		faculae				bonivot
321442		facular				ukuwuot
321443		faculas				binuvun
321444		faculative				banevuet
321445		faculous				binuvain
321446		facultas				ikiwiban
321447		facultate				benoviun
321448		facultative				akawabogo
321449		facultatively				banevosue
321450		facultativeness				benovisaat
321451		facultativity				bonivusea
321452		facultie				ekewebon
321453		facultied				banevoo
321454		faculties				ekeweban
321455		facultise				ekewebana
321456		facultised				banevoet
321457		facultises				ekewebun
321458		facultising				banevotiu
321459		facultize				bonivuon
321460		facultized				okowobo
321461		facultizes				bonivuan
321462		facultizing				okowobesun
321463		faculty				ukuwuota
321464		facultys				ukuwubo
321465		facund				ekewot
321466		facunde				akawoi
321467		facundia				okowuvin
321468		facundious				okowuvet
321469		facunditas				benopiin
321470		facundities				bunapetiin
321471		facundity				bonipuon
321472		facundo				ikiwaon
321473		facundus				akawovun
321474		facy				okoko
321475		fada				baro
321476		fadable				biraran
321477		fadaise				bureren
321478		fadaises				bureraon
321479		fadd				ukasn
321480		fadda				akesaa
321481		faddeev				baravat
321482		fadden				baraat
321483		fadder				birion
321484		faddery				baravun
321485		faddier				birirat
321486		faddiest				bororao
321487		faddilier				okisuzo
321488		faddiliest				ekosizun
321489		faddily				bururet
321490		faddiness				barareo
321491		faddinesses				bururapoe
321492		fadding				bororen
321493		faddish				bururon
321494		faddisher				ukasewet
321495		faddishest				ikusawu
321496		faddishlier				bororisiu
321497		faddishliest				bererosoon
321498		faddishly				akesowot
321499		faddishness				ekosiwuju
321500		faddishnesses				akesowiji
321501		faddishnesss				ekosiwujot
321502		faddism				okisuu
321503		faddisms				okisuwot
321504		faddist				birirun
321505		faddists				biriruu
321506		faddle				bereen
321507		faddled				ekoseot
321508		faddler				okisoun
321509		faddles				berevon
321510		faddling				ekosesan
321511		faddy				ekosuu
321512		fade				biru
321513		fadeable				borinoot
321514		fadeaway				barenae
321515		fadeaways				barenain
321516		fadec				birus
321517		faded				ikuten
321518		fadedly				birutan
321519		fadedness				burataon
321520		fadednesses				birutupeot
321521		fadednesss				burataan
321522		fadednyess				berotoun
321523		fadeev				ekotus
321524		fadeevs				ekotaote
321525		fadein				ekotao
321526		fadeins				ekotien
321527		fadel				okitoe
321528		fadeless				ekotezena
321529		fadelessly				berovuu
321530		fadelessness				borivabaun
321531		fadely				ukatee
321532		fadem				beroz
321533		faden				ekotio
321534		fadeometer				berofee
321535		fadeometers				berofepain
321536		fadeout				ukatoin
321537		fadeouts				ukatoda
321538		fadeproof				ekotaqat
321539		fader				ukataa
321540		faders				ukatei
321541		fades				biruq
321542		fadesome				boriquo
321543		fadeth				biruan
321544		fadeur				ikutou
321545		fadeurs				ikutoet
321546		fadeyev				ikuteoa
321547		fadeyevs				ikutezet
321548		fadfae				ekokota
321549		fadge				burev
321550		fadged				ukale
321551		fadger				akelia
321552		fadges				bureo
321553		fadging				ukaleet
321554		fadhaa				okimat
321555		fadhel				boraot
321556		fadi				buri
321557		fadier				ukanua
321558		fadiest				ikunoon
321559		fadil				ikuni
321560		fadiman				ekonoet
321561		fading				ikunia
321562		fadingly				biropoa
321563		fadingness				buripiin
321564		fadings				ikunaat
321565		fadish				akenat
321566		fadista				akenoat
321567		fadj				ukar
321568		fadjr				buruc
321569		fadlike				ekotiet
321570		fadm				bora
321571		fadme				beruv
321572		fadmonger				borafian
321573		fadmongering				ekovufifet
321574		fadmongery				burofau
321575		fadms				boraq
321576		fadness				ekozao
321577		fado				bere
321578		fadolmidine				ukapupipe
321579		fadom				buruz
321580		fadometer				borozaet
321581		fadometers				borozai
321582		fadoodle				barafoot
321583		fados				bereq
321584		fadridden				bariroa
321585		fadrozole				ikujenun
321586		fads				buria
321587		fady				berea
321588		fadzilah				ekolizi
321589		faecal				bisoi
321590		faecaler				ikarizon
321591		faecalest				okurozin
321592		faecalith				bisonoa
321593		faecality				akorazu
321594		faecaller				besanaun
321595		faecallest				basunuen
321596		faecally				ukeruza
321597		faecaloid				akorazua
321598		faecaloma				businian
321599		faecaluria				ukeruzon
321600		faeces				ikarae
321601		faeceses				okurewun
321602		faecess				ikaroen
321603		faecesses				okurewu
321604		faecolith				busifie
321605		faecula				bosebot
321606		faeculence				okurezot
321607		faeculent				bosebeet
321608		faed				bisi
321609		faeder				ikasai
321610		faedor				ekisot
321611		faedors				ekisuo
321612		faefolk				akokiu
321613		faegon				buseet
321614		faeling				ekitiia
321615		faella				okutun
321616		faena				bosen
321617		faenas				bosein
321618		faence				basuat
321619		faences				basuse
321620		faenus				basue
321621		faenza				ukeze
321622		faer				buso
321623		faerber				busoro
321624		faerie				bisean
321625		faeriecore				akojozin
321626		faeriedom				ikajazun
321627		faeriekind				busorou
321628		faerier				ukejeot
321629		faeries				biserun
321630		faeriest				ikajazan
321631		faeroe				basiun
321632		faeroes				basifu
321633		faeroese				busofoet
321634		faeroeses				busofoi
321635		faers				busoq
321636		faerself				biseqein
321637		faery				besul
321638		faerydom				ekijuvet
321639		faerykind				bosalai
321640		faeryland				ikajezat
321641		faerylike				ikajeze
321642		faerys				besuet
321643		faes				ukecs
321644		faetar				akoqona
321645		faeto				basaf
321646		faetupac				akoqujat
321647		faetus				bosoin
321648		faex				besa
321649		faez				base
321650		fafa				bogu
321651		fafaronade				okumihen
321652		fafda				okusoa
321653		fafe				bage
321654		faff				ikake
321655		faffage				ukekuen
321656		faffed				begoi
321657		faffer				bogio
321658		faffery				bugavi
321659		faffing				begorot
321660		faffle				bageot
321661		faffled				akokae
321662		faffles				bagevo
321663		faffling				akokaset
321664		faffs				ikakaa
321665		faffy				akoki
321666		fafia				bogen
321667		fafiate				ekineet
321668		fafiated				bagunoa
321669		fafiates				ekinebi
321670		fafiating				bagunoat
321671		fafiation				beganio
321672		fafillion				ikanizena
321673		fafner				bigoun
321674		fafners				bigovu
321675		fafnir				bugii
321676		fafnirs				bugirat
321677		fafo				bigi
321678		fafoed				okupun
321679		fafoing				okupuen
321680		fafos				bigiq
321681		fafrotskies				begufibeon
321682		fafsa				bogena
321683		fagaceae				ekumizo
321684		fagaceaes				ekumizet
321685		fagaceous				okamuza
321686		fagald				akiman
321687		fagales				bukevon
321688		fagaleses				bikaveot
321689		fagaless				bukevoan
321690		fagalesses				bikaveo
321691		fagaly				bokua
321692		fagan				bukep
321693		fagans				bukeet
