Marsji Language,,,,,
Top 1000 Core Words,,,,,
Dutch ? Marsji Edition,,,,,
Version 1.0,,,,,
,,,,,
,NL,,Marsji,,EN
190,lang,,nuvit,,long
191,Actie,,rawia,,move
192,uit,,tuc,,out
193,bladzijde,,akitre,,page
194,bereiken,,polon,,reach
195,rust uit,,pajee,,rest
196,set,,foc,,set
197,zou moeten,,fazaea,,should
198,stand,,faleta,,stand
199,tijd,,ilito,,time
200,omhoog,,jua,,up
201,leeftijd,,ogi,,age
202,omdat,,iremau,,because
203,groot,,elo,,big
204,camera,,lutai,,camera
205,stad,,licei,,city
206,jurk,,mosaqe,,dress
207,avond,,noserun,,evening
208,vrij,,bisin,,free
209,hebben,,gewo,,have
210,ziek,,araa,,ill
211,Leuk vinden,,aletna,,like
212,moeder,,rocoe,,mother
213,oud,,uree,,old
214,Politie,,vesoat,,police
215,onthouden,,uretisea,,remember
216,straat,,fahiet,,street
217,studie,,ijosi,,study
218,leraar,,erariat,,teacher
219,stem,,ivoree,,voice
220,water,,akututu,,water
221,ook,,gejeo,,also
222,doos,,kad,,box
223,klasse,,luliqu,,class
224,moeilijk,,elukuton,,difficult
225,rit,,ufabu,,drive
226,voedsel,,bazoi,,food
227,Super goed,,ofimue,,great
228,gelukkig,,ekefoi,,happy
229,verandering,,okozon,,change
230,sap,,ucaru,,juice
231,ontmoeten,,rusan,,meet
232,nodig hebben,,sesoe,,need
233,mooi,,vasuai,,pretty
234,heel,,zomiv,,quite
235,echt,,palie,,real
236,verdrietig,,far,,sad
237,voorjaar,,fuhuana,,spring
238,ster,,ujuju,,star
239,nemen,,akitse,,take
240,Ja,,area,,yes
241,actie,,emenota,,action
242,alleen,,uruzo,,alone
243,ontbijt,,kasetoan,,breakfast
244,doorgaan met,,lovuraota,,continue
245,dood,,male,,dead
246,genieten,,atepia,,enjoy
247,vol,,acit,,full
248,tuin,,dihiot,,garden
249,huis,,avacoo,,house
250,reis,,evujuu,,journey
251,veel,,renana,,much
252,niets,,siciret,,nothing
253,telefoon,,ikuzoi,,phone
254,prijs,,vumovi,,price
255,resultaat,,eruwue,,result
256,zus,,oluqon,,sister
257,zon,,fave,,sun
258,vertellen,,oretto,,tell
259,visie,,ulade,,view
260,met,,alumna,,with
261,tegen,,eginoen,,against
262,bus,,uco,,bus
263,bedrijf,,avefoet,,company
264,woestijn,,uratene,,desert 
265,duur,,obutuwi,,expensive
266,bloem,,oride,,flower
267,groen,,ifutu,,green
268,kerk,,leqiet,,church
269,onmogelijk,,kapuqai,,impossible
270,laten staan,,nolave,,leave
271,maand,,ravon,,month
272,Aan,,en,,on
273,plan,,eruzno,,plan
274,mogelijk,,uvucesen,,possible
275,terugkeer,,pocuan,,return
276,sparen,,fiwu,,save
277,zee,,irilu,,sea
278,iets,,fatiwoen,,something
279,samen,,hekuwiin,,together
280,vrouw,,qutip,,woman
281,iets,,ataqasin,,anything
282,leger,,gotei,,army
283,slecht,,kir,,bad
284,Hoes,,iviteo,,cover
285,cultuur,,lusabet,,culture
286,besluit,,munuqea,,decision
287,voorbeeld,,nelohun,,example
288,voelen,,busoa,,feel
289,hoe,,avo,,how
290,eiland,,kisiina,,island
291,lid,,orunuu,,member
292,De volgende,,ureqno,,next
293,positie,,avanisa,,position
294,Cadeau,,vasivena,,present
295,Vermelding,,erupuna,,record
296,slaap,,eratono,,sleep
297,zoet,,fesewt,,sweet
298,proberen,,haga,,try
299,onder,,jorec,,under
300,wereld,,qehata,,world
301,na,,gacoc,,after
302,bed,,kar,,bed
303,kopen,,eca,,buy
304,vangst,,ukoroa,,catch
305,hoek,,lohiat,,corner
306,afstand,,iluqufot,,distance
307,opleiding,,naqenue,,education
308,snel,,bujua,,fast
309,hier,,gahoo,,here
310,interesseren,,itetezen,,interest
311,brief,,nocii,,letter
312,nooit,,aratis,,never
313,een deel,,akuqte,,part
314,president,,ufeceven,,president
315,ronde,,ivizuo,,round
316,meerdere,,fawocu,,several
317,geluid,,evazet,,sound
318,verhaal,,ojajo,,story
319,praten,,hasea,,talk
320,week,,orosro,,week
321,bijna,,aripia,,almost
322,brood,,afame,,bread
323,controle,,ivaqeen,,control
324,Geachte,,melae,,dear
325,elke,,uqejo,,every
326,weinig,,eraa,,few
327,goud,,ovusu,,gold
328,chef,,uketa,,chief
329,nodig uit,,kewie,,invite
330,laat,,nace,,late
331,meest,,rojue,,most
332,enkel en alleen,,utiko,,only
333,Product,,vazuben,,product
334,openbaar,,ocetune,,public
335,te ontvangen,,ponuri,,receive
336,Sorry,,ivujit,,sorry
337,sterk,,fihaio,,strong
338,vervolgens,,ikezni,,then
339,te,,avole,,too
340,manier,,ikoa,,way
341,aan de overkant,,gahiot,,across
342,kunst,,ofo,,art
343,brengen,,ufozoa,,bring
344,dragen,,okijoe,,carry
345,bevestigen,,lovara,,confirm
346,dood gaan,,alie,,die
347,oosten,,nujua,,east
348,groep,,afawia,,group
349,hoop,,gipei,,hope
350,industrie,,etuwaba,,industry
351,kijken,,avasni,,look
352,moet,,rajene,,must
353,eigen,,tiv,,own
354,persoonlijk,,vehefieta,,personal
355,reden,,pelein,,reason
356,onderhoud,,arebuo,,service
357,zal,,fulava,,shall
358,blijven,,falori,,stay
359,hun,,ekuniro,,their
360,vrouw,,qagua,,wife
361,weg,,iwak,,away
362,mooi,,kuleween,,beautiful
363,zorg,,lahe,,care
364,kosten,,lujea,,cost
365,diep,,masoe,,deep
366,genoeg,,utawan,,enough
367,strijd,,alimiu,,fight
368,garage,,dihaa,,garage
369,in,,otapo,,into
370,houden,,mosute,,keep
371,mevrouw,,alicnu,,miss
372,andere,,tuloc,,other
373,speler,,arikone,,player
374,liever,,picean,,rather
375,blijven,,potaat,,remain
376,kant,,faru,,side
377,zuiden,,uviqo,,south
378,waar,,heqeu,,true
379,gebruik,,iha,,use
380,wie,,qez,,who
381,nu al,,gehonea,,already
382,worden,,irepue,,become
383,oorzaak,,okecia,,cause
384,zeker,,lehonan,,certain
385,beschrijven,,arerosa,,describe
386,droog,,mag,,dry
387,verwachten,,nipoat,,expect
388,feit,,bunua,,fact
389,moeilijk,,ekist,,hard
390,omvatten,,kanabo,,include
391,laat,,nic,,let
392,moment,,evitini,,moment
393,kracht,,vebuc,,power
394,voorzien,,vuzarun,,provide
395,verslag doen van,,pupae,,report
396,stoel,,filut,,seat
397,single,,ulelea,,single
398,systeem,,fejiot,,system
399,door,,hehaben,,through
400,welke,,ekurae,,which
401,appel,,gapiv,,apple
402,blauw,,kuqai,,blue
403,klok,,luzita,,clock
404,kleur,,avapeni,,colour
405,anders,,mogevaet,,different
406,aarde,,nahan,,earth
407,film,,bosio,,film
408,blij,,eriss,,glad
409,uur,,goqou,,hour
410,alleen maar,,lujas,,just
411,liefde,,niwei,,love
412,aantal,,acenati,,number
413,potlood,,ururin,,pencil
414,snel,,acurii,,quick
415,regen,,pema,,rain
416,gemakkelijk,,alefet,,simple
417,zomer,,fitoun,,summer
418,stad,,hobii,,town
419,boom,,hesen,,tree
420,venster,,olasota,,window
421,adres,,gorovan,,address
422,gebouw,,komatua,,building
423,computer,,lotabein,,computer
424,kruis,,lizeqne,,cross
425,bureau,,urasn,,desk
426,oor,,nah,,ear
427,vis,,bejoe,,fish
428,glas,,daluqe,,glass
429,ijs,,ome,,ice
430,sleutel,,arei,,key
431,minuut,,aliwua,,minute
432,kantoor,,idenan,,office
433,ouder,,vehoet,,parent
434,post,,vijae,,post
435,rots,,evusti,,rock
436,zoeken,,urujit,,search
437,sport,,fozewo,,sport
438,thee,,erae,,tea
439,vallei,,ekitonn,,valley
440,wandelen,,qesoa,,walk
441,luchthaven,,elufien,,airport
442,baby,,kemea,,baby
443,kaart,,ukasa,,card
444,centraal,,ureqoat,,central
445,richting,,mohesoen,,direction
446,dollar,,masuota,,dollar
447,fruit,,ifanee,,fruit
448,geschenk,,iluqo,,gift
449,hoog,,geko,,high
450,ziekte,,kisovon,,illness
451,melk,,roseu,,milk
452,niet,,suc,,not
453,stuk,,olure,,piece
454,beschermen,,vazuvena,,protect
455,ras,,akitiri,,race
456,sinds,,fivave,,since
457,langzaam,,fizes,,slow
458,glimlach,,femovt,,smile
459,ticket,,henao,,ticket
460,goed,,erotnu,,well
461,ongeluk,,ginatuin,,accident
462,bloed,,orepia,,blood
463,bedrijf,,kojopeu,,business
464,gedurende,,ucunat,,during
465,zelfs,,uqezi,,even
466,verdieping,,oripia,,floor
467,algemeen,,davocot,,general
468,Kiezen,,luzia,,choose
469,informeren,,keguot,,inform
470,weinig,,nucoae,,little
471,vergadering,,ereqeata,,meeting
472,bestellen,,toroc,,order
473,partij,,okeqas,,party
474,roze,,vovei,,pink
475,antwoord,,eretoni,,reply
476,sneeuw,,fuzano,,snow
477,suiker,,fakice,,sugar
478,reizen,,haleaa,,travel
479,virus,,coheqa,,virus
480,kijk maar,,ekaras,,watch
481,een ander,,eteqeo,,another
482,geloven,,uraneat,,believe
483,beide,,ovema,,both
484,gek,,ifilia,,crazy
485,kop,,lup,,cup
486,besluiten,,miniua,,decide
487,ooit,,oquje,,ever
488,veld,,elitu,,field
489,hart,,arejes,,heart
490,stel je voor,,kolirena,,imagine
491,lijn,,nuvii,,line
492,vlees,,relon,,meat
493,over,,uqoju,,over
494,Trekken,,acits,,pull
495,ring,,piviu,,ring
496,verkopen,,urutta,,sell
497,vergelijkbaar,,elonio,,similar
498,snelheid,,ozeto,,speed
499,dan,,akuzne,,than
500,uw,,beqei,,your
501,bovenstaand,,oloba,,above
502,beginnen,,kukup,,begin
503,eeuw,,levobi,,century
504,overwegen,,levoraet,,consider
505,gevaarlijk,,ekoleqa,,dangerous
506,donker,,mohia,,dark
507,uitwisseling,,noninei,,exchange
508,regering,,dawicio,,government
509,horen,,goleti,,hear
510,springen,,lutea,,jump
511,materiaal,,rocicie,,material
512,in de buurt,,sulio,,near
513,Verleden,,vuju,,past
514,produceren,,ufasiu,,produce
515,verwijderen,,pituaa,,remove
516,geheim,,erijana,,secret
517,lied,,fivos,,song
518,televisie,,hasodoa,,television
519,waarde,,cisuv,,value
520,wanneer,,okozno,,when
521,arm,,gat,,arm
522,achter,,kilio,,behind
523,geval,,ikatn,,case
524,verzamelen,,lasuvan,,collect
525,trek,,moluni,,draw
526,onderzoeken,,obavuen,,examine
527,vallen,,okats,,fall
528,toenemen,,dozua,,grow
529,direct,,katatasion,,immediately
530,laag,,ovas,,low
531,geest,,olass,,mind
532,uit,,udo,,off
533,voorbij gaan aan,,akacle,,pass
534,radio,,paruf,,radio
535,schoen,,fozoe,,shoe
536,station,,folurina,,station
537,zeker,,fohuti,,sure
538,test,,hujaa,,test
539,gebruikelijk,,juquv,,usual
540,terwijl,,iketasu,,while
541,geleden,,aga,,ago
542,langs,,erezaa,,along
543,beer,,kolea,,bear
544,staat,,evisabon,,condition
545,direct,,alatin,,direct
546,rand,,nekua,,edge
547,prima,,boveo,,fine
548,voor de helft,,ekokn,,half
549,kip,,ukerae,,chicken
550,toename,,atojeret,,increase
551,tijdschrift,,ekomisun,,magazine
552,natuur,,okawei,,nature
553,bord,,oraqeno,,plate
554,arm,,vezeu,,poor
555,respect,,urofeat,,respect
556,scherp,,fuleh,,sharp
557,soms,,fitewee,,sometimes
558,nog steeds,,fumiv,,still
559,hoog,,ukittu,,tall
560,zou,,uvutato,,would
561,toevoegen,,ene,,add
562,tussen,,gazim,,among
563,gebouwd,,ocatie,,built
564,gemeenschappelijk,,lataata,,common
565,afhangen,,mopuet,,depend
566,vroeg,,ekatuu,,early
567,vlieg,,bug,,fly
568,gebeuren,,gipuat,,happen
569,controleren,,lusot,,check
570,voorstellen,,atijavan,,introduce
571,minder,,eracti,,less
572,Mark,,rihue,,mark
573,geduldig,,vacuvin,,patient
574,misschien,,vahunan,,perhaps
575,stijgen,,ulotre,,rise
576,zin,,fuvuvi,,sense
577,kort,,fizawa,,short
578,staat,,ojoqia,,state
579,beurt,,icizt,,turn
580,zullen,,olitno,,will
581,handelen,,goc,,act
582,verschijnen,,gipaan,,appear
583,breken,,kisut,,break
584,Cursus,,liqioa,,course
585,rechtbank,,uvijue,,court
586,bespreken,,alerao,,discuss
587,effect,,nugeen,,effect
588,het formulier,,bohos,,form
589,houden,,avesn,,hold
590,insect,,utetana,,insect
591,gemeen,,rulue,,mean
592,een keer,,tanua,,once
593,doel,,ecafuena,,purpose
594,werkelijk,,uratate,,really
595,rijden,,pirou,,ride
596,situatie,,facunauna,,situation
597,succes,,eciroun,,success
598,wel,,ukewee,,though
599,op,,azezo,,upon
600,oorlog,,quh,,war
601,namiddag,,guceceu,,afternoon
602,druk,,ecuka,,busy
603,koffie,,evake,,coffee
604,detail,,uremona,,detail
605,vooral,,nepasao,,especially
606,af hebben,,olonae,,finish
607,grond,,dazaea,,ground
608,vakantie,,ivunuet,,holiday
609,keuze,,lozau,,choice
610,keuken,,mocunan,,kitchen
611,les,,nijien,,lesson
612,muziek,,uconut,,music
613,oranje,,afuzat,,orange
614,perfect,,vohuvat,,perfect
615,verzoek,,pufeve,,request
616,seizoen,,filiat,,season
617,ziek,,olusn,,sick
618,morgen,,uvupeqin,,tomorrow
619,Welkom,,qisifun,,welcome
620,gisteren,,bejovoan,,yesterday
621,mee eens,,gahev,,agree
622,brug,,afisen,,bridge
623,taart,,okete,,cake
624,klant,,eciqepot,,customer
625,datum,,meco,,date
626,invoeren,,nocec,,enter
627,toekomst,,ecowa,,future
628,heer,,oreqeza,,gentleman
629,haar,,gumo,,hair
630,beeld,,osoli,,image
631,taal,,navobuo,,language
632,markt,,ukesoa,,market
633,vliegtuig,,arizus,,plane
634,privaat,,vimuna,,private
635,restaurant,,oraqadin,,restaurant
636,grootte,,foke,,size
637,lucht,,unoa,,sky
638,slim,,osojo,,smart
639,bedankt,,ukizus,,thank
640,weer,,qeloni,,weather
641,acteur,,umupu,,actor
642,fles,,kuceet,,bottle
643,kleding,,lazan,,cloth
644,jas,,lalot,,coat
645,vernietigen,,uraqei,,destroy
646,overal,,eqijuku,,everywhere
647,vinger,,ololin,,finger
648,gids,,domive,,guide
649,verbeteren,,kapofin,,improve
650,mes,,otoke,,knife
651,groot,,nohuve,,large
652,vergissing,,rijena,,mistake
653,oceaan,,tesep,,ocean
654,fabriek,,valuw,,plant
655,herhaling,,aratata,,repeat
656,zout,,okoqre,,salt
657,speciaal,,izoroa,,special
658,onderwijzen,,helena,,teach
659,oom,,ututia,,uncle
660,winter,,qevuun,,winter
661,boos,,itaja,,angry
662,artikel,,gucoso,,article
663,bouwen,,ocati,,build
664,vuil,,iliqo,,dirty
665,behalve,,ninoat,,except
666,beroemd,,ukipot,,famous
667,gas,,ikoi,,gas
668,hotel,,uvitoi,,hotel
669,goedkoop,,akume,,cheap
670,interview,,atitigat,,interview
671,maan,,rozio,,moon
672,leuk,,olutno,,nice
673,bereiden,,vesene,,prepare
674,gevangenis,,ufucai,,prison
675,rijst,,ulotra,,rice
676,lijken,,urivs,,seem
677,rok,,onujo,,skirt
678,vreemd,,fehapen,,strange
679,trein,,afunii,,train
680,warm,,qoha,,warm
681,account,,amupion,,account
682,vogel,,alose,,bird
683,wolk,,orawoa,,cloud
684,comfortabel,,latifodien,,comfortable
685,schade,,ekeman,,damage
686,stof,,mujani,,dust
687,oefening,,abojosot,,exercise
688,favoriete,,biwibia,,favourite
689,ziekenhuis,,gijeroet,,hospital
690,grap,,evutta,,joke
691,bericht,,ariciu,,message
692,nacht,,ulumu,,night
693,verf,,okozas,,paint
694,genoegen,,erimiden,,pleasure
695,relatie,,pesuwijao,,relationship
696,wetenschap,,fomepen,,science
697,echt,,fuhufi,,serious
698,besteden,,feseta,,spend
699,moe,,alatune,,tired
700,mis,,efazuo,,wrong
701,bedrag,,isiwen,,amount
702,bank,,kavea,,bank
703,bruin,,ifodi,,brown
704,menigte,,ifedi,,crowd
705,deal,,muloi,,deal
706,motor,,utoni,,engine
707,volgen,,ivetan,,follow
708,chocolade,,lizefeu,,chocolate
709,individueel,,karodue,,individual
710,links,,oriqna,,left
711,maaltijd,,ralin,,meal
712,olie,,tose,,oil
713,pijn,,vome,,pain
714,waarschijnlijk,,ufanusa,,probably
715,vervangen,,urutoat,,replace
716,maatschappij,,fanevan,,society
717,vierkant,,faqooa,,square
718,stap,,ijofu,,step
719,temperatuur,,irifiqegon,,temperature
720,Universiteit,,etebaqen,,university
721,aanvaarden,,ometet,,accept
722,vooruitgaan,,guwipun,,advance
723,zak,,oki,,bag
724,gezagvoerder,,lapanon,,captain
725,centrum,,luvaae,,centre
726,vraag naar,,eremii,,demand
727,vijand,,nosil,,enemy
728,fabriek,,ukuqoot,,factory
729,hongerig,,acilia,,hungry
730,onwettig,,kesomen,,illegal
731,wet,,ekut,,law
732,neus,,uvette,,nose
733,benzine,,voceat,,petrol
734,trots,,afewi,,proud
735,verantwoordelijk,,irefufavu,,responsible
736,op te slaan,,ujoja,,store
737,geslaagd,,acorewun,,successful
738,zwemmen,,uweve,,swim
739,top,,hip,,top
740,winnen,,qov,,win
741,beschikbaar,,uqenira,,available
742,boot,,kilane,,boat
743,lenen,,ivajaa,,borrow
744,kust,,lalewe,,coast
745,room,,lusaza,,cream
746,ontwerp,,mijien,,design
747,uitdrukking,,obujewe,,expression
748,boerderij,,bihe,,farm
749,geschiedenis,,uloqaota,,history
750,verwonden,,koneona,,injure
751,kaart,,rap,,map
752,verkrijgen,,tecoet,,obtain
753,vredig,,oraremu,,peaceful
754,praktijk,,uforosa,,practise
755,kort geleden,,ponupaun,,recently
756,vorm,,akafes,,shape
757,zilver,,fisiina,,silver
758,rook,,esuso,,smoke
759,aanraken,,heqon,,touch
760,wassen,,qujo,,wash
761,voordeel,,unemabot,,advantage
762,aanval,,ejemu,,attack
763,boter,,kucaat,,butter
764,club,,erani,,club
765,college,,evetoin,,college
766,mate,,mukian,,degree
767,ontsnappen,,nonoot,,escape
768,poort,,dace,,gate
769,onafhankelijk,,kerahohien,,independent
770,luister,,iloqe,,listen
771,trouwen,,ukejani,,marry
772,voorwerp,,teneo,,object
773,pad,,akemno,,path
774,rustig,,zomuw,,quiet
775,weigeren,,pagoet,,refuse
776,onderwerpen,,femovia,,subject
777,levering,,fepian,,supply
778,smaak,,hejev,,taste
779,meestal,,ihamiin,,usually
780,groente,,cokuwoe,,vegetable
781,regelen,,gehopon,,arrange
782,hieronder,,kusag,,below
783,sigaret,,lekecoot,,cigarette
784,huisje,,aviqoen,,cottage
785,afdeling,,mepucuon,,department
786,verdienen,,ikozo,,earn
787,voorkant,,buzow,,front
788,teder,,divuun,,gentle
789,hoed,,gic,,hat
790,instrument,,kojaciot,,instrument
791,machine,,ikemiea,,machine
792,krant,,subuhua,,newspaper
793,pakket,,ikoroa,,parcel
794,religie,,irunesuna,,religion
795,reparatie,,oromie,,repair
796,dienen,,arebeu,,serve
797,schouder,,okawuvun,,shoulder
798,reis,,ifufni,,trip
799,dorp,,alotuoe,,village
800,muur,,ikutti,,wall
801,aankomen,,gahiat,,arrive
802,geboren,,avoza,,born
803,kleren,,luzunu,,clothes
804,correct,,luhuvu,,correct
805,dubbele,,avinin,,double
806,Engels,,nikiret,,English
807,vergeten,,evalen,,forget
808,doel,,dalut,,goal
809,een hekel hebben aan,,goci,,hate
810,doden,,eluts,,kill
811,laatste,,neje,,last
812,hoofd,,rema,,main
813,paar,,vami,,pair
814,belofte,,vuzeru,,promise
815,regelmatig,,urawoua,,regular
816,ergens,,uvatorin,,somewhere
817,ruimte,,falavn,,space
818,deze,,hesuve,,these
819,nuttig,,ohuken,,useful
820,zonder,,qacefon,,without
821,dier,,otevun,,animal
822,bier,,kasua,,beer
823,kalmte,,losa,,calm
824,kopiëren,,lipat,,copy
825,schotel,,mujat,,dish
826,uitdrukken,,nupavi,,express
827,buitenlands,,uviteet,,foreign
828,Raad eens,,acecee,,guess
829,man,,gujinua,,husband
830,liggen,,eloa,,lie
831,de mijne,,revai,,mine
832,mening,,tumure,,opinion
833,passagier,,okocefa,,passenger
834,druk op,,vusoqu,,press
835,regel,,pisau,,rule
836,teken,,fako,,sign
837,ondersteuning,,ocefoat,,support
838,die,,huzov,,those
839,geweldig,,qivavae,,wonderful
840,jaar,,belae,,year
841,bang,,gohaa,,afraid
842,bord,,ivuju,,board
843,cirkel,,elorun,,circle
844,tellen,,evazei,,count
845,dood,,eraqia,,death
846,Ontdek,,eloragu,,discover
847,grappig,,acazi,,funny
848,gast,,dosowe,,guest
849,paard,,gohivo,,horse
850,meer,,ekotte,,lake
851,modern,,ruroua,,modern
852,noodzakelijk,,sanoqoan,,necessary
853,genoeg,,vasuei,,plenty
854,winst,,vizien,,profit
855,verminderen,,pirau,,reduce
856,delen,,ukujano,,share
857,stelen,,ejamia,,steal
858,vertrouwen,,aficuo,,trust
859,wens,,qajei,,wish
860,jong,,buqam,,young
861,bewonderen,,unonuna,,admire
862,toestaan,,urepua,,allow
863,strijd,,kacaata,,battle
864,beklimmen,,arovi,,climb
865,compleet,,lativaun,,complete
866,verdelen,,ilone,,divide
867,inspanning,,udepana,,effort
868,vers,,ufecaa,,fresh
869,gat,,gasina,,hole
870,inderdaad,,kerai,,indeed
871,huwelijk,,ikajirin,,marriage
872,buiten,,icacei,,outside
873,aangenaam,,vasoquot,,pleasant
874,punt,,ivizeu,,point
875,recent,,aritas,,recent
876,secretaris,,fanuviot,,secretary
877,zingen,,favan,,sing
878,zacht,,evaqti,,soft
879,derde,,himata,,third
880,verschillende,,cihofe,,various
881,avontuur,,gewupaen,,adventure
882,hoewel,,irimade,,although
883,bodem,,evaqina,,bottom
884,munt,,lomina,,coin
885,comfort,,letufon,,comfort
886,laten vallen,,afofe,,drop
887,Gelijk,,neqov,,equal
888,pistool,,dev,,gun
889,intelligent,,itetazusot,,intelligent
890,toetreden,,luma,,join
891,lach,,noqun,,laugh
892,midden,,reruat,,middle
893,uitvoeren,,vuhefa,,perform
894,duidelijk,,erunino,,plain
895,rij,,avose,,row
896,soldaat,,fosuru,,soldier
897,oppervlakte,,ucakeata,,surface
898,dik,,homat,,thick
899,tot,,jeciv,,until
900,wild,,ilusna,,wild
901,poging,,ujutuu,,attempt
902,Bill,,olit,,bill
903,ademen,,kisuwin,,breathe
904,koken,,evusi,,cook
905,verdedigen,,moguon,,defend
